Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,ocr_text,screenshot_path,visual_hash,url,asn,asn_org,country,region,city,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.683542362433231,3.683542362433231,0,0,-1,,,,,airindia-oxwsv.top,,,,,,False,,-1,,[]
"Civil Registration System, MHA",dc-crsorgii-gov.xyz,145.79.212.235,21,1,False,4,0,2,0,0,0,0,0,0,0,13,0,False,0,0,0.0,0,False,False,0,False,False,False,2.873140679513133,2.873140679513133,1,1,67,Let's Encrypt,,,,dccrsorgi.org,47583.0,Hostinger International Limited,IN,Maharashtra,Mumbai,True,https://hpanel.hostinger.com/favicons/hostinger.png,"(32, 32)",b5f0625e0ff05a16,"[65, 46, 121]"
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.683542362433231,3.683542362433231,0,0,-1,,,,,airindia-burgh.top,,,,,,False,,-1,,[]
Indian Railway Catering and Tourism Corporation,modiirctc.shop,,19,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.326360407952694,2.459147917027245,0,0,-1,,,,,http://modicici.com,,,,,,False,,-1,,[]
Air India,careers-airindia.com,104.247.81.99,35,2,False,5,0,2,0,0,0,0,0,0,0,27,0,False,0,1,14.0,14,False,False,0,False,False,False,3.7578544455163945,3.3935953724537105,0,0,-1,,,,,https://notexistsicici.careeers.com,206834.0,Team Internet AG,CA,,,False,,-1,,[]
"Civil Registration System, MHA",dc-crsorgii-gov.xyz,,30,1,False,7,3,2,0,0,0,0,0,0,0,22,3,False,0,0,0.0,0,False,False,0,False,False,False,3.572623663895164,3.572623663895164,0,0,-1,,,,,dc-crsorgi-gov-in.site,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.2390979179887864,3.2390979179887864,0,0,-1,,,,,airindia-admin.top,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.530493056757482,3.530493056757482,0,0,-1,,,,,airindia-fabhd.top,,,,,,False,,-1,,[]
Air India,airindia.net.ru,104.247.81.99,24,3,False,6,0,2,0,0,0,0,0,0,0,16,0,False,0,1,5.0,5,False,False,0,False,False,False,3.4906015629507223,2.7806390622295662,0,0,-1,,,,,https://icici.next.co.in,206834.0,Team Internet AG,CA,,,False,,-1,,[]
Air India,careers-airindia.com,,28,2,False,5,0,2,0,0,0,0,0,0,0,20,0,False,0,1,4.0,4,False,False,0,False,False,False,3.923251796980337,3.284183719779189,0,0,-1,,,,,https://ww25.careericici.com,,,,,,False,,-1,,[]
Air India,careers-airindia.com,103.224.182.245,27,2,False,5,0,2,0,0,0,0,0,0,0,19,0,False,0,1,9.0,9,False,False,0,False,False,False,3.736006946447656,3.0105709342684834,1,1,44,Let's Encrypt,,,,https://icicibank.career.ca,133618.0,Trellian Pty. Limited,US,California,San Diego,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvo.in,103.151.152.102,25,3,False,6,0,2,0,0,0,0,0,0,0,17,0,False,0,1,2.0,2,False,False,0,False,False,False,3.8136606896881857,3.2195282822995472,0,0,-1,,,,,https://dc.crsorgi.gov.in,140170.0,Office Of The Registrar General India,IN,,,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvo.in,178.16.128.83,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.277613436819116,3.277613436819116,1,1,85,Let's Encrypt,,,,crsorgi.net,47583.0,Hostinger International Limited,FR,Paris,Paris,False,,-1,,[]
Air India,careers-airindia.com,64.190.63.222,25,3,False,7,0,3,0,0,0,0,0,0,0,16,0,False,0,1,5.0,5,False,False,1,False,False,False,3.543465189601647,2.702819531114783,1,1,130,DigiCert Inc,,,,https://icici.care.co.in/,47846.0,SEDO GmbH,DE,,,True,https://img.sedoparking.com/templates/logos/sedo_logo.png,"(48, 48)",84075e3f4a726ea5,"[0, 44, 98]"
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.530493056757482,3.530493056757482,0,0,-1,,,,,airindia-sgppb.top,,,,,,False,,-1,,[]
Air India,careers-airindia.com,,23,2,False,5,0,2,0,0,0,0,0,0,0,15,0,False,0,1,5.0,5,False,False,0,False,False,False,3.621175542919471,2.789898095464288,0,0,-1,,,,,https://icici.carer.com,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.794653473544342,3.794653473544342,0,0,-1,,,,,airindia-ecjsh.top,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.683542362433231,3.683542362433231,0,0,-1,,,,,airindia-fjgcc.top,,,,,,False,,-1,,[]
Air India,airindia.net.ru,103.109.225.119,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5724312513221195,3.1219280948873624,1,1,177,DigiCert Inc,,,,https://netpnb.com,137130.0,Punjab National Bank,IN,,,True,https://netpnb.com//favicon.ico,"(16, 16)",95c16a3e4b3c9cc3,"[184, 60, 40]"
