Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Airtel,airtel.in,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,0.0,Low,0.0,weak_evidence,0.9714,0.0,0.0,0.9231,True,True,jw_primary|token_set_primary|skeleton_similarity|host_similarity,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Airtel,True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtele.xyz,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtele.xyz,,0,False,dns_not_mapped_lexical_hit,0.9231,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
parivahan sewa,parivahan.gov.in,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,0.0,Low,0.0,weak_evidence,0.9474,0.0,0.0,0.9474,True,True,jw_primary|token_set_primary|skeleton_similarity|host_similarity,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,parivahan sewa,True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for paarivahan.com,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,paarivahan.com,,0,False,dns_not_mapped_lexical_hit,0.9474,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
State Bank of India (SBI),sbicard.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,0.0,Low,0.0,weak_evidence,0.85,0.0,0.0,0.78,True,True,jw_primary,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,State Bank of India (SBI),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbireward.com,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbireward.com,,0,False,dns_not_mapped_lexical_hit,0.78,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
Airtel,airtel.in,https://airtel-zungusha.lol,AIGR-S66270_Ground_Truth.xlsx,0.0,Low,0.0,weak_evidence,0.88,0.0,0.0,0.5714,True,True,brand_token_match|jw_primary,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Airtel,True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for airtel-zungusha.lol,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,airtel-zungusha.lol,,0,False,dns_not_mapped_lexical_hit,0.5714,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
State Bank of India (SBI),sbi.bank.in,https://sbi.com-kyc.net/login,urls.xlsx,0.0,Low,0.0,weak_evidence,0.5263,0.0,0.0,0.5263,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,False,,True,True,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi.com-kyc.net,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi.com-kyc.net,,0,False,dns_not_mapped_lexical_hit,0.5263,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
State Bank of India (SBI),corp.onlinesbi.sbi,https://onl1nesbi.sbi/login,urls.xlsx,0.0,Low,0.0,weak_evidence,0.9481,0.0,0.0,0.9189,True,True,jw_primary|skeleton_similarity,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,State Bank of India (SBI),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for onl1nesbi.sbi,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,onl1nesbi.sbi,,0,False,dns_not_mapped_lexical_hit,0.9189,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
State Bank of India (SBI),onlinesbi.sbi.bank.in,https://onlinesbi.sbi.update-rewards.xyz,urls.xlsx,0.0,Low,0.0,weak_evidence,0.6522,0.0,0.0,0.6522,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,False,,True,True,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for onlinesbi.sbi.update-rewards.xyz,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,onlinesbi.sbi.update-rewards.xyz,,0,False,dns_not_mapped_lexical_hit,0.6522,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
State Bank of India (SBI),sbisecurities.in,https://sbi-secure-login.com,urls.xlsx,0.0,Low,0.0,weak_evidence,0.8353,0.0,0.0,0.6207,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,False,,True,True,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi-secure-login.com,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi-secure-login.com,,0,False,dns_not_mapped_lexical_hit,0.6207,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
State Bank of India (SBI),onlinesbi.sbi.bank.in,https://sbi.co.in.login.banking-services.net/234/redirect,urls.xlsx,0.0,Low,0.0,weak_evidence,0.85,0.0,0.0,0.4,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,False,,True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for sbi.co.in.login.banking-services.net,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,sbi.co.in.login.banking-services.net,,0,False,dns_not_mapped_lexical_hit,0.4,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
ICICI Bank,icicilombard.com,https://icici-bank-support.in,urls.xlsx,0.0,Low,0.0,weak_evidence,0.8222,0.0,0.0,0.5333,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,ICICI Bank,True,True,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for icici-bank-support.in,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,icici-bank-support.in,,0,False,dns_not_mapped_lexical_hit,0.5333,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
Punjab National Bank (PNB),pnbindia.in,https://pnb-india.in,urls.xlsx,0.0,Low,0.0,weak_evidence,0.9741,0.0,0.0,0.9712,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Punjab National Bank (PNB),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnb-india.in,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnb-india.in,,0,False,dns_not_mapped_lexical_hit,0.9712,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
Punjab National Bank (PNB),pnbindia.in,https://pnblndia.in,urls.xlsx,0.0,Low,0.0,weak_evidence,0.9083,0.0,0.0,0.905,True,True,jw_primary|skeleton_similarity,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Punjab National Bank (PNB),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnblndia.in,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnblndia.in,,0,False,dns_not_mapped_lexical_hit,0.905,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
Punjab National Bank (PNB),pnbindia.in,https://pnbindia-kyd.com,urls.xlsx,0.0,Low,0.0,weak_evidence,0.9333,0.0,0.0,0.8,True,True,brand_token_match|jw_primary,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Punjab National Bank (PNB),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnbindia-kyd.com,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnbindia-kyd.com,,0,False,dns_not_mapped_lexical_hit,0.8,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,,
Punjab National Bank (PNB),pnbindia.in,https://pnb-netbanking.net,urls.xlsx,0.0,Low,0.0,weak_evidence,0.6706,0.0,0.0,0.4545,True,True,brand_token_match,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,False,,True,True,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnb-netbanking.net,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnb-netbanking.net,,0,False,dns_not_mapped_lexical_hit,0.4545,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
Punjab National Bank (PNB),pnbindia.in,https://pnbindia-services.com,urls.xlsx,0.0,Low,0.0,weak_evidence,0.8941,0.0,0.0,0.64,True,True,brand_token_match|jw_primary,stage1_passthrough,True,dns_not_mapped_lexical_passthrough,,True,Punjab National Bank (PNB),True,True,True,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough,failed,not_attempted,dns_gate_no_answer,no A/AAAA answers for pnbindia-services.com,,,,,0.0,0.0,0.0,True,0,0,0,0,0,False,dns_not_mapped_to_ip,False,False,False,0,0,pnbindia-services.com,,0,False,dns_not_mapped_lexical_hit,0.64,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,,,
