target_url,best_entity,best_legit_domain,prefilter_score,decision
root-ro.info,Canara Bank,canararobeco.com,1.2874,rejected
creationorder.net,Coal India,coalindiatenders.nic.in,3.7822,rejected
lucilalehmann.com,ICICI Bank,icicilombard.com,2.9863,rejected
app-mkwangzhi.com,National Informatics Centre (NIC),kavach.mail.gov.in,1.8353,rejected
zrsanalyst.com,IDFC FIRST Bank,idfcfirst.bank.in,1.5287,rejected
suaconsulta2026.online,Income Tax Department,incometaxindia.gov.in,0.5047,rejected
chillcollege.com,Canara Bank,canarahsbclife.com,1.2607,rejected
parquebatweania.com,parivahan sewa,parivahan.gov.in,5.4389,rejected
jiaotongzd.com,Jio,jio.com,6.0432,rejected
udbijaayurveda.com,Bank of Baroda,onlinecasa.bankofbaroda.com,2.6397,rejected
barbara-michelle.com,Bank of Baroda,onlinecasa.bankofbaroda.com,10.2066,accepted
wildlayers.com,Coal India,coalindiatenders.nic.in,4.9594,rejected
roblox303.store,Canara Bank,canararobeco.com,3.3039,rejected
sportrade.blog,Airtel,airtel.in,0.9664,rejected
connect2people360x.info,ICICI Bank,icicidirect.com,1.1287,rejected
pulsefck.store,ICICI Bank,iciciprulife.com,1.443,rejected
e7v7c6y.com,Election Commision of India (ECI),eci.gov.in,2.9294,rejected
wfbmus.org,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.6376,rejected
wantianzf.com,Canara Bank,canarabank.bank.in,1.2458,rejected
learningonly.store,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,1.0637,rejected
elit-stomatolog.ru,Election Commision of India (ECI),eci.gov.in,2.4238,rejected
5500betsk.com,ICICI Bank,retailnetbanking.icici.bank.in,0.9208,rejected
laoshuanliagou.bond,National Informatics Centre (NIC),accounts.mgovcloud.in,2.081,rejected
rush-bodyplan.homes,IndusInd Bank,indusind.bank.in,2.5789,rejected
aetyk.cc,Axis Bank,axis.bank.in,2.7591,rejected
tnkproject.com,ICICI Bank,icicidirect.com,3.7599,rejected
brierleysovereigngroup.info,BSE Ltd.,bseindia.com,0.7804,rejected
outlandscodex.ai,Income Tax Department,contents.tdscpc.gov.in,3.48,rejected
ofertaa643842315.sbs,Bank of Baroda,onlinecasa.bankofbaroda.com,0.5153,rejected
bexarcasino.space,All India Institute of Medical Sciences (AIIMS),aiimsexams.ac.in,2.0776,rejected
5ggnp.buzz,,,0.0,rejected
abfquoelx.com,National Health Authority (NHA),abdm.gov.in,2.7417,rejected
emon793hoky.online,State Bank of India (SBI),homeloans.sbi,0.9168,rejected
o3zxth.top,Kfintech,kfintech.com,1.083,rejected
globalbookpublication.com,Coal India,coalindiatenders.nic.in,1.5007,rejected
tredmind.com,BSE Ltd.,bseindia.com,3.1583,rejected
ventajp.com,Income Tax Department,contents.tdscpc.gov.in,1.2758,rejected
tutera.ru,Coal India,coalindiatenders.nic.in,0.8791,rejected
vertexapexgroupoptimalprocess.blog,Air India,airindiaexpress.com,3.0633,rejected
ncbackyardbouncers.com,Coal India,coalindiatenders.nic.in,2.2392,rejected
pack101.org,parivahan sewa,parivahan.gov.in,1.2183,rejected
aithink.world,Airtel,airtelpayments.bank.in,8.3702,rejected
metaads.pro,Income Tax Department,incometaxindia.gov.in,5.9964,rejected
enerzyph.com,Punjab National Bank (PNB),netpnb.com,1.6262,rejected
kycedeoni.autos,National Informatics Centre (NIC),nic.gov.in,1.7166,rejected
exodusbrk.com,IndusInd Bank,indusind.bank.in,1.8426,rejected
traverseskier.com,BSE Ltd.,bsestarmf.in,1.5529,rejected
doggiemax.com,Axis Bank,axismaxlife.com,3.6728,rejected
aifinance.global,Kfintech,kfintech.com,3.2899,rejected
web365daftar.com,BSE Ltd.,bsestarmf.in,2.4481,rejected
f1blue.com,State Bank of India (SBI),sbilife.co.in,2.7679,rejected
94498.qpon,,,0.0,rejected
commerium.co.uk,Income Tax Department,incometaxindia.gov.in,3.5509,rejected
itplayegypt.win,ICICI Bank,icicidirect.com,0.6734,rejected
mediavision.store,BSE Ltd.,bseindia.com,1.9489,rejected
kirin77.site,Air India,airindiaexpress.com,3.5455,rejected
777gvipclub.com,Vodafone Idea (VI),myvi.in,1.9596,rejected
optimacapitalvc.com,National Informatics Centre (NIC),kavach.mail.gov.in,1.8539,rejected
suesholidayhub.com,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,3.9498,rejected
cifibiu.pro,ICICI Bank,iciciprulife.com,2.6707,rejected
nmjiaojinginc.shop,Income Tax Department,incometaxindia.gov.in,3.3734,rejected
netsafe.ovh,Punjab National Bank (PNB),netpnb.com,6.3913,rejected
charmenowho.shop,Canara Bank,canararobeco.com,2.0384,rejected
navaitour.online,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,5.7162,rejected
fxsnowcool.com,Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,3.2998,rejected
fjudoeuskadi.eus,National Informatics Centre (NIC),cloud.gov.in,1.4419,rejected
pornxmodel.click,Bharat Sanchar Nigam Limited (BSNL),portal.bsnl.in,2.5663,rejected
logrenuunics.com,National Informatics Centre (NIC),nic.gov.in,4.8229,rejected
prototanya.org,Punjab National Bank (PNB),pnbindia.in,1.341,rejected
s-s-a.us,Indian Space Research Organisation (ISRO),vssc.gov.in,4.3775,rejected
carelessvibe.com,Canara Bank,canarahsbclife.com,3.0495,rejected
hometownsewickley.com,State Bank of India (SBI),homeloans.sbi,11.7578,accepted
swiftdrops.store,Income Tax Department,contents.tdscpc.gov.in,1.6638,rejected
fresna.online,Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,2.0002,rejected
brandmappr.com,National Health Authority (NHA),abdm.gov.in,2.2158,rejected
soilandturfconsulting.com,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,2.7339,rejected
allsetfacilitygroup.com,State Bank of India (SBI),sbilife.co.in,1.4831,rejected
coastalcounselingcenter.org,Coal India,coalindiatenders.nic.in,6.3032,rejected
jardines10.com,State Bank of India (SBI),sbicard.com,2.578,rejected
oliveandjunes.store,Coal India,coalindiatenders.nic.in,2.0995,rejected
chargemoment.com,State Bank of India (SBI),homeloans.sbi,2.9179,rejected
bazarcentofiori.com,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,2.3433,rejected
intelectusai.com,Kfintech,kfintech.com,6.8057,rejected
tuterrenoenchile.cl,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,2.1334,rejected
ezbrd.co,State Bank of India (SBI),sbicard.com,5.9588,rejected
outergood.ru,National Informatics Centre (NIC),accounts.mgovcloud.in,3.2708,rejected
hgi5z6n1d.vip,HDFC Bank,hdfcfund.com,1.9695,rejected
rjpnbv.com,Punjab National Bank (PNB),netpnb.com,7.6441,rejected
jlchuhai.com,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,3.3973,rejected
8740i4ji8ki.shop,Jio,jio.com,1.8415,rejected
twentysixer.ru,Coal India,coalindiatenders.nic.in,1.4194,rejected
graniteindustriesinc.com,BSE Ltd.,bseindia.com,2.6226,rejected
rosastoneeg.com,Bank of Baroda,onlinecasa.bankofbaroda.com,0.694,rejected
snackduel.com,Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,3.0489,rejected
alyxara.com,Canara Bank,canararobeco.com,3.149,rejected
anxunh.top,National Health Authority (NHA),nha.gov.in,3.9037,rejected
n6k6jqg8.top,National Informatics Centre (NIC),nic.gov.in,0.6582,rejected
inesceramica.pt,Income Tax Department,incometaxindia.gov.in,3.8514,rejected
dikagegrid.click,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,1.6191,rejected
zh-ptgaming.com,ICICI Bank,retailnetbanking.icici.bank.in,2.0717,rejected
piezosistem.com,State Bank of India (SBI),sbisecurities.in,1.6404,rejected
americanexpress-reward00175.ink,Air India,airindiaexpress.com,30.4968,accepted
landscapebyvera.com,Income Tax Department,contents.tdscpc.gov.in,2.8443,rejected
tonerrefillstoreho.shop,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,0.8893,rejected
ank2014.biz,Canara Bank,canarabank.bank.in,10.2065,accepted
mikogpt.ru,National Informatics Centre (NIC),kavach.mail.gov.in,0.8976,rejected
pumirpkin.live,parivahan sewa,parivahan.gov.in,2.3335,rejected
shelbyserves.com,State Bank of India (SBI),sbisecurities.in,7.2936,rejected
beton888bonuuz30rb.cyou,Punjab National Bank (PNB),netpnb.com,0.8861,rejected
penn-hpp.com,parivahan sewa,parivahan.gov.in,1.6101,rejected
annarbormarket.com,Canara Bank,canararobeco.com,5.4243,rejected
permabrows.us,National Health Authority (NHA),abdm.gov.in,0.8367,rejected
thinkproguard.com,State Bank of India (SBI),sbicard.com,4.3626,rejected
bluewaterpoolsusa.com,Coal India,coalindiatenders.nic.in,1.9653,rejected
zentozavoveltopentolaxinilo.click,Income Tax Department,incometaxindia.gov.in,2.5209,rejected
soyprotagonistafinanciero.com,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,1.1097,rejected
anptght-jp.com,IDFC FIRST Bank,idfcfirst.bank.in,2.0403,rejected
bramclaw.my.id,Computer Age Management Services Ltd. (CAMS),camsonline.com,1.8099,rejected
pornmega18.xyz,State Bank of India (SBI),homeloans.sbi,1.0306,rejected
crplasticos.com.br,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,2.7069,rejected
connectionsarchive.net,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,1.5376,rejected
sweetcookii.com,State Bank of India (SBI),sbi.co.in,1.4249,rejected
inwestonauci.pl,BSE Ltd.,bsestarmf.in,2.431,rejected
bogitekniikka.fi,BSE Ltd.,bseindia.com,1.5191,rejected
jskbalaghat.org,parivahan sewa,parivahan.gov.in,1.192,rejected
socioone.com,Indian Oil Corporation Limited (IOCL),iocl.com,2.3131,rejected
yktdeo.com,Income Tax Department,contents.tdscpc.gov.in,1.343,rejected
dq67r.top,,,0.0,rejected
easy-sponso.com,State Bank of India (SBI),homeloans.sbi,0.8997,rejected
beatyourbuddies.online,State Bank of India (SBI),sbisecurities.in,4.7217,rejected
ampmskincare.com,State Bank of India (SBI),sbicard.com,3.9136,rejected
perchproject.org,ICICI Bank,icicidirect.com,4.2105,rejected
unqvrhr60.shop,HDFC Bank,hdfcfund.com,0.7846,rejected
hysefo.com,BSE Ltd.,bsestarmf.in,1.4462,rejected
joel-angelina-wedding.com,Airtel,airtel.in,5.3397,rejected
dynamicdigitalmastery.com,Coal India,coalindiatenders.nic.in,2.1532,rejected
edugig.xyz,Election Commision of India (ECI),eci.gov.in,2.2043,rejected
exerciseok.com,Election Commision of India (ECI),eci.gov.in,2.6266,rejected
djgekcf.icu,HDFC Bank,hdfcfund.com,2.4103,rejected
saudenervocuremax.shop,State Bank of India (SBI),sbisecurities.in,1.9395,rejected
thirdshelterpress.com,Air India,airindiaexpress.com,12.3169,accepted
hixemuzydo.pro,Jio,jio.com,1.6228,rejected
thelocksmithcrew.com,State Bank of India (SBI),homeloans.sbi,2.4855,rejected
phoenixwanderlust.in,Coal India,coalindiatenders.nic.in,7.4936,rejected
digifant.network,State Bank of India (SBI),sbilife.co.in,1.14,rejected
syxtherocrex.world,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.8664,rejected
thepatoolkit.com,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,0.6571,rejected
preprod-ucimtbworldseries.com,Air India,airindiaexpress.com,3.3501,rejected
flydownloads.space,State Bank of India (SBI),homeloans.sbi,5.0326,rejected
nevermindmedia.ch,Punjab National Bank (PNB),pnbindia.in,7.9496,rejected
lfsidou.com,National Informatics Centre (NIC),cloud.gov.in,3.0002,rejected
ub-futas.hu,HDFC Bank,hdfcfund.com,1.1873,rejected
519zx.top,,,0.0,rejected
ybiscom.fr,Income Tax Department,incometaxindia.gov.in,2.1244,rejected
eatalymarket.shop,BSE Ltd.,bsestarmf.in,0.9074,rejected
8eight.com.tw,BSE Ltd.,bseindia.com,1.4317,rejected
slexironphdrexox.world,Air India,airindiaexpress.com,2.1947,rejected
tayceculture.com,ICICI Bank,icicisecurities.com,2.9396,rejected
conciergerie-niort.fr,ICICI Bank,icicisecurities.com,2.7914,rejected
clayhole.click,National Informatics Centre (NIC),cloud.gov.in,3.2882,rejected
786786786786.com,,,0.0,rejected
71042.vip,,,0.0,rejected
jicm0yo.vip,Jio,jio.com,21.0275,accepted
hollandgroupandassociates.com,Coal India,coalindiatenders.nic.in,3.7611,rejected
lesfermesdespoir.fr,BSE Ltd.,bsestarmf.in,1.5983,rejected
hraihpsa.ca,All India Institute of Medical Sciences (AIIMS),aiims.edu,1.3162,rejected
my-auth23948.com,,,0.0,rejected
daisyfrost.com,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,3.6855,rejected
eeeey.cc,Election Commision of India (ECI),eci.gov.in,1.1443,rejected
essentialcleaningservicesusa.com,ICICI Bank,icicisecurities.com,2.1878,rejected
uk-travel.ru,Airtel,airtel.in,4.857,rejected
scarpe-it.ru,State Bank of India (SBI),sbicard.com,8.2727,rejected
