url,source_workbook,shortlisted_cse,shortlisted_domain,fetch_status,final_landing_url,parking_provider,parking_reason,brand_model_top1,brand_model_confidence,domain_model_top1,domain_model_confidence,model_brand_agrees_with_shortlist,model_domain_agrees_with_shortlist,model_feature_status,model_input_error,model_usable,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason
https://carshlife.store,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Canara Bank,canarahsbclife.com,fetched,https://carshlife.store/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,carshlife.store,,0,True,lexical_hit
https://casinonye.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Computer Age Management Services Ltd. (CAMS),camsonline.com,fetched,https://casinonye.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,casinonye.com,,0,True,lexical_hit
https://myvitaminstrips.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Vodafone Idea (VI),myvi.in,fetched,https://myvitaminstrips.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,myvitaminstrips.com,,0,True,lexical_hit
https://uidaiaadhardownload.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,fetched,https://uidaiaadhardownload.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit
https://jiso99.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Jio,jio.com,fetched,https://jiso99.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiso99.com,,0,True,lexical_hit
https://jiso88.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Jio,jio.com,fetched,https://jiso88.org/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiso88.org,,0,True,lexical_hit
https://teci.nl,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://teci.nl/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,teci.nl,,0,True,lexical_hit
https://ecibogut.link,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://ecibogut.link/opt/out,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecibogut.link,,0,True,lexical_hit
https://rupamsonline.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Computer Age Management Services Ltd. (CAMS),camsonline.com,fetched,https://rupamsonline.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rupamsonline.com,,0,True,lexical_hit
https://caoni.horse,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Computer Age Management Services Ltd. (CAMS),camsonline.com,fetched,https://caoni.horse/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,caoni.horse,,0,True,lexical_hit
https://appsonline.my.id,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Computer Age Management Services Ltd. (CAMS),camsonline.com,fetched,https://appsonline.my.id/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,appsonline.my.id,,0,True,lexical_hit
https://mgsonline.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Computer Age Management Services Ltd. (CAMS),camsonline.com,fetched,https://mgsonline.org/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,mgsonline.org,,0,True,lexical_hit
https://ecimai.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://ecimai.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecimai.com,,0,True,lexical_hit
