input_position,input_url,normalized_url,source_workbook,exclusion_stage,reason,survival_path,drop_path,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted_to_holdout,kept_for_review_only,review_only_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_matching_domain,generic_token_only_match,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,stage1_passthrough
18,connectionsarchive.net,https://connectionsarchive.net,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
19,web365daftar.com,https://web365daftar.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
20,conciergerie-niort.fr,https://conciergerie-niort.fr,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
21,nmjiaojinginc.shop,https://nmjiaojinginc.shop,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
22,ventajp.com,https://ventajp.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
23,snackduel.com,https://snackduel.com,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,nha.gov.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
24,calmplatewindow.club,https://calmplatewindow.club,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
25,tuterrenoenchile.cl,https://tuterrenoenchile.cl,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
26,pumirpkin.live,https://pumirpkin.live,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
27,exerciseok.com,https://exerciseok.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
28,parquebatweania.com,https://parquebatweania.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
29,tutu-and-tiaras.com,https://tutu-and-tiaras.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://tutu-and-tiaras.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,airindiaexpress.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
30,prototanya.org,https://prototanya.org,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
31,beton888bonuuz30rb.cyou,https://beton888bonuuz30rb.cyou,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
32,creationorder.net,https://creationorder.net,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://creationorder.net/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,coalindiatenders.nic.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
33,bazarcentofiori.com,https://bazarcentofiori.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
34,hgi5z6n1d.vip,https://hgi5z6n1d.vip,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
35,socioone.com,https://socioone.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://socioone.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,camsonline.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
36,greenbeangirltrainingtutoring.com,https://greenbeangirltrainingtutoring.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
37,crplasticos.com.br,https://crplasticos.com.br,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
38,tnkproject.com,https://tnkproject.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
39,landscapebyvera.com,https://landscapebyvera.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://landscapebyvera.com/ | Call log: - navigating to ""https://landscapebyvera.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,coalindiatenders.nic.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
40,fresna.online,https://fresna.online,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
41,zh-ptgaming.com,https://zh-ptgaming.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
42,emon793hoky.online,https://emon793hoky.online,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
43,udbijaayurveda.com,https://udbijaayurveda.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
44,pornmega18.xyz,https://pornmega18.xyz,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,resolver_error,rejected,failed,not_attempted,get_error,,,,,,False,False,,False,False,True,fallback_top_k,homeloans.sbi,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
45,easy-sponso.com,https://easy-sponso.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
46,roblox303.store,https://roblox303.store,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
47,kirin77.site,https://kirin77.site,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
48,moisesdevweb.com,https://moisesdevweb.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
49,barbara-michelle.com,https://barbara-michelle.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://barbara-michelle.com/ | Call log: - navigating to ""https://barbara-michelle.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,canarahsbclife.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
50,pornxmodel.click,https://pornxmodel.click,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,resolver_error,rejected,failed,not_attempted,get_error,,,,,,False,False,,False,False,True,fallback_top_k,pnb.bank.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
51,hraihpsa.ca,https://hraihpsa.ca,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
52,saudenervocuremax.shop,https://saudenervocuremax.shop,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
53,rjpnbv.com,https://rjpnbv.com,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,pnb.bank.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
54,yktdeo.com,https://yktdeo.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
55,jlchuhai.com,https://jlchuhai.com,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,hdfclife.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
56,bogitekniikka.fi,https://bogitekniikka.fi,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
57,lucilalehmann.com,https://lucilalehmann.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
58,yataganharem5.click,https://yataganharem5.click,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
59,jicm0yo.vip,https://jicm0yo.vip,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
60,wintergroupsecurity.com,https://wintergroupsecurity.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://wintergroupsecurity.com/ | Call log: - navigating to ""https://wintergroupsecurity.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,kfintech.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
61,mikogpt.ru,https://mikogpt.ru,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://mikogpt.ru/ | Call log: - navigating to ""https://mikogpt.ru/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,jio.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
62,exodusbrk.com,https://exodusbrk.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
63,alyxara.com,https://alyxara.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
64,djgekcf.icu,https://djgekcf.icu,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
65,dikagegrid.click,https://dikagegrid.click,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
66,anxunh.top,https://anxunh.top,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,indusind.bank.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
67,eatalymarket.shop,https://eatalymarket.shop,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
68,americanexpress-reward00175.ink,https://americanexpress-reward00175.ink,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
69,pack101.org,https://pack101.org,urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,iocl.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
70,discretion.shop,https://discretion.shop,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
71,thirdshelterpress.com,https://thirdshelterpress.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://thirdshelterpress.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,airindiaexpress.com,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
72,ank2014.biz,https://ank2014.biz,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_error,"Page.goto: net::ERR_CONNECTION_REFUSED at https://ank2014.biz/ | Call log: - navigating to ""https://ank2014.biz/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,bankofbaroda.bank.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
73,hollandgroupandassociates.com,https://hollandgroupandassociates.com,urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://hollandgroupandassociates.com/"", waiting until ""domcontentloaded""",,,,,False,False,,False,False,True,fallback_top_k,homeloans.sbi,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
74,thinkproguard.com,https://thinkproguard.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
75,hysefo.com,https://hysefo.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
76,8740i4ji8ki.shop,https://8740i4ji8ki.shop,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
77,netsafe.ovh,https://netsafe.ovh,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
78,optimacapitalvc.com,https://optimacapitalvc.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
79,zrsanalyst.com,https://zrsanalyst.com,urls.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,,not_attempted,,,,,,,False,False,,False,False,False,,,False,False,0,0,0,0,0,False,,False,False,False,0,0,,,0,False,,False
