input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision,fetch_status,final_landing_url,parking_provider,parking_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason
14,hollandgroupandassociates.com,https://hollandgroupandassociates.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
15,ivqojlz1513.top,https://ivqojlz1513.top,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
16,fxsnowcool.com,https://fxsnowcool.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
17,tayceculture.com,https://tayceculture.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
18,bramclaw.my.id,https://bramclaw.my.id,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
19,permabrows.us,https://permabrows.us,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
20,app-mkwangzhi.com,https://app-mkwangzhi.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
21,enerzyph.com,https://enerzyph.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
22,beatyourbuddies.online,https://beatyourbuddies.online,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
23,nevermindmedia.ch,https://nevermindmedia.ch,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
24,joel-angelina-wedding.com,https://joel-angelina-wedding.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
25,kycedeoni.autos,https://kycedeoni.autos,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
27,greenbeangirltrainingtutoring.com,https://greenbeangirltrainingtutoring.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
28,aetyk.cc,https://aetyk.cc,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
29,exerciseok.com,https://exerciseok.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
30,o3zxth.top,https://o3zxth.top,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
32,slexironphdrexox.world,https://slexironphdrexox.world,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
33,inesceramica.pt,https://inesceramica.pt,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
34,eeeey.cc,https://eeeey.cc,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
35,5500betsk.com,https://5500betsk.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
36,wildlayers.com,https://wildlayers.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
37,daisyfrost.com,https://daisyfrost.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
38,ampmskincare.com,https://ampmskincare.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
39,yktdeo.com,https://yktdeo.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
40,lucilalehmann.com,https://lucilalehmann.com,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
41,chargemoment.com,https://chargemoment.com,hashing_shortlist,parked_page,resolved,accepted,parked,https://chargemoment.com/,GenericParking,generic_parking_text_signals,False,False,True,fallback_top_k
42,connectionsarchive.net,https://connectionsarchive.net,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
43,inwestonauci.pl,https://inwestonauci.pl,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
44,suaconsulta2026.online,https://suaconsulta2026.online,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
45,parquebatweania.com,https://parquebatweania.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
46,oliveandjunes.store,https://oliveandjunes.store,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
47,navaitour.online,https://navaitour.online,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
48,coastalcounselingcenter.org,https://coastalcounselingcenter.org,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
49,commerium.co.uk,https://commerium.co.uk,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
51,aithink.world,https://aithink.world,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
52,pack101.org,https://pack101.org,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
53,accountauthenticate.com,https://accountauthenticate.com,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
54,verify-account.net,https://verify-account.net,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
55,fjudoeuskadi.eus,https://fjudoeuskadi.eus,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
56,wantianzf.com,https://wantianzf.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
57,abx5n1n7.cc,https://abx5n1n7.cc,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
58,zh-ptgaming.com,https://zh-ptgaming.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
59,soilandturfconsulting.com,https://soilandturfconsulting.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
60,unqvrhr60.shop,https://unqvrhr60.shop,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
61,shaart.com,https://shaart.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
62,beton888bonuuz30rb.cyou,https://beton888bonuuz30rb.cyou,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
63,sbireward.com,https://sbireward.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,jw_primary
64,creditrepair-help.com,https://creditrepair-help.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
65,icic-bank.com,https://icic-bank.com,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
66,piezosistem.com,https://piezosistem.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
67,pumirpkin.live,https://pumirpkin.live,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
68,ank2014.biz,https://ank2014.biz,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
69,ub-futas.hu,https://ub-futas.hu,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
70,calmplatewindow.club,https://calmplatewindow.club,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
71,hysefo.com,https://hysefo.com,hashing_shortlist,parked_page,resolved,accepted,parked,https://domains.atom.com/lpd/name/hysefo.com,Squadhelp/Atom,provider_branded_parking_template,False,False,True,fallback_top_k
72,outergood.ru,https://outergood.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
73,thelocksmithcrew.com,https://thelocksmithcrew.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
74,zrsanalyst.com,https://zrsanalyst.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
75,zentozavoveltopentolaxinilo.click,https://zentozavoveltopentolaxinilo.click,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
76,connect2people360x.info,https://connect2people360x.info,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
77,nmjiaojinginc.shop,https://nmjiaojinginc.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
78,shelbyserves.com,https://shelbyserves.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
79,ncbackyardbouncers.com,https://ncbackyardbouncers.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
80,penn-hpp.com,https://penn-hpp.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
81,sbi.co.in.login.banking-services.net/234/redirect,https://sbi.co.in.login.banking-services.net/234/redirect,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
82,jlchuhai.com,https://jlchuhai.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
83,tuterrenoenchile.cl,https://tuterrenoenchile.cl,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
84,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
85,rjpnbv.com,https://rjpnbv.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
86,outlandscodex.ai,https://outlandscodex.ai,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
87,pnblndia-app.in,https://pnblndia-app.in,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
88,itplayegypt.win,https://itplayegypt.win,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
89,freedomroadfinancialdealerhub.com,https://freedomroadfinancialdealerhub.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
90,learningonly.store,https://learningonly.store,hashing_shortlist,parked_page,resolved,accepted,parked,https://sedo.com/search/details/?partnerid=324561&language=hi&domain=learningonly.store&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage&__cf_chl_rt_tk=YdSgQLiMp9KcJlAAvXf7pDZitYh90N7RF5kXncpqtyk-1775236093-1.0.1.1-XGx8ROQmMQqG6dECbL3Cemq6qSpEAJP5X6tEE8m.xZw,Sedo,provider_host_redirect,False,False,True,fallback_top_k
91,bogitekniikka.fi,https://bogitekniikka.fi,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
92,preprod-ucimtbworldseries.com,https://preprod-ucimtbworldseries.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
93,tredmind.com,https://tredmind.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
94,anptght-jp.com,https://anptght-jp.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
95,ofertaa643842315.sbs,https://ofertaa643842315.sbs,dns_gate,dns_rejected,resolver_error,rejected,,,,,False,False,True,fallback_top_k
96,digifant.network,https://digifant.network,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
97,jardines10.com,https://jardines10.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
98,avbyfpho.shop,https://avbyfpho.shop,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
99,netsafe.ovh,https://netsafe.ovh,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
100,cifibiu.pro,https://cifibiu.pro,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
101,pnblndia.bank.in,https://pnblndia.bank.in,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,jw_primary
102,jskbalaghat.org,https://jskbalaghat.org,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
103,94498.qpon,https://94498.qpon,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
104,carelessvibe.com,https://carelessvibe.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
105,sportrade.blog,https://sportrade.blog,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
106,lml2vipaff05.cc,https://lml2vipaff05.cc,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
107,snowtime.shop,https://snowtime.shop,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
108,onlinesbi.sbi.update-rewards.xyz,https://onlinesbi.sbi.update-rewards.xyz,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
109,anxunh.top,https://anxunh.top,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
110,tutu-and-tiaras.com,https://tutu-and-tiaras.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
111,manto90.store,https://manto90.store,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
112,snackduel.com,https://snackduel.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
113,crplasticos.com.br,https://crplasticos.com.br,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
114,syxtherocrex.world,https://syxtherocrex.world,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
115,conciergerie-niort.fr,https://conciergerie-niort.fr,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
116,my-auth23948.com,https://my-auth23948.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
117,dynamicdigitalmastery.com,https://dynamicdigitalmastery.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
118,moisesdevweb.com,https://moisesdevweb.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
119,djgekcf.icu,https://djgekcf.icu,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
120,hixemuzydo.pro,https://hixemuzydo.pro,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
121,pnblndia.in,https://pnblndia.in,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,jw_primary|skeleton_similarity
122,pornmega18.xyz,https://pornmega18.xyz,dns_gate,dns_rejected,resolver_error,rejected,,,,,False,False,True,fallback_top_k
123,sbi-secure-login.com,https://sbi-secure-login.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
124,swiftdrops.store,https://swiftdrops.store,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
125,abfquoelx.com,https://abfquoelx.com,dns_gate,dns_rejected,resolver_error,rejected,,,,,False,False,True,fallback_top_k
126,uk-travel.ru,https://uk-travel.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
127,edugig.xyz,https://edugig.xyz,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
128,surpriseoflifellc.com,https://surpriseoflifellc.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
129,suesholidayhub.com,https://suesholidayhub.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
130,777gvipclub.com,https://777gvipclub.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
131,bluewaterpoolsusa.com,https://bluewaterpoolsusa.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
132,globalbookpublication.com,https://globalbookpublication.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
133,clayhole.click,https://clayhole.click,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
134,71042.vip,https://71042.vip,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
135,scarpe-it.ru,https://scarpe-it.ru,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
136,discretion.shop,https://discretion.shop,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
137,intelectusai.com,https://intelectusai.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
138,519zx.top,https://519zx.top,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
139,lfsidou.com,https://lfsidou.com,hashing_shortlist,parked_page,resolved,accepted,parked,https://lfsidou.com/,GenericParking,generic_parking_text_signals,False,False,True,fallback_top_k
140,perchproject.org,https://perchproject.org,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
141,hgi5z6n1d.vip,https://hgi5z6n1d.vip,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
142,mikogpt.ru,https://mikogpt.ru,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
143,thinkproguard.com,https://thinkproguard.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
144,pnb-netbanking.net,https://pnb-netbanking.net,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
145,traverseskier.com,https://traverseskier.com,hashing_shortlist,parked_page,resolved,accepted,parked,https://traverseskier.com/,GenericParking,generic_parking_text_signals,False,False,True,fallback_top_k
146,brierleysovereigngroup.info,https://brierleysovereigngroup.info,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
147,allsetfacilitygroup.com,https://allsetfacilitygroup.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
148,f1blue.com,https://f1blue.com,dns_gate,dns_rejected,timeout,rejected,,,,,False,False,True,fallback_top_k
149,icici-bank-support.in,https://icici-bank-support.in,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,brand_token_match|jw_primary
150,di9rke.top,https://di9rke.top,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
151,jiaotongzd.com,https://jiaotongzd.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
152,udbijaayurveda.com,https://udbijaayurveda.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
153,s-s-a.us,https://s-s-a.us,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
154,e7v7c6y.com,https://e7v7c6y.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
155,phoenixwanderlust.in,https://phoenixwanderlust.in,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
156,emon793hoky.online,https://emon793hoky.online,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
157,allnaturalherbalmedicines.com,https://allnaturalherbalmedicines.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
158,lesfermesdespoir.fr,https://lesfermesdespoir.fr,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
159,update-account.online,https://update-account.online,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
160,bazarcentofiori.com,https://bazarcentofiori.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
161,domain,https://domain,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
162,ibramep.com,https://ibramep.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
163,barbara-michelle.com,https://barbara-michelle.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
164,web365daftar.com,https://web365daftar.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
165,tonerrefillstoreho.shop,https://tonerrefillstoreho.shop,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
166,rosastoneeg.com,https://rosastoneeg.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
168,ybiscom.fr,https://ybiscom.fr,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
169,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,jw_primary|skeleton_similarity
170,pnbindia-kyd.com,https://pnbindia-kyd.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,brand_token_match|jw_primary
171,optimacapitalvc.com,https://optimacapitalvc.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
172,landscapebyvera.com,https://landscapebyvera.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
173,root-ro.info,https://root-ro.info,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
174,786786786786.com,https://786786786786.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
175,dikagegrid.click,https://dikagegrid.click,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
176,wintergroupsecurity.com,https://wintergroupsecurity.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
178,8740i4ji8ki.shop,https://8740i4ji8ki.shop,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
179,laoshuanliagou.bond,https://laoshuanliagou.bond,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
180,thepatoolkit.com,https://thepatoolkit.com,hashing_shortlist,fetch_timeout_or_fetch_failed,resolved,accepted,failed,,,,False,False,True,fallback_top_k
181,verify-kyc.com,https://verify-kyc.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
182,airtele.xyz,https://airtele.xyz,dns_gate,dns_rejected,timeout,rejected,,,,,True,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity
