input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision
68,quadbottles.store,https://quadbottles.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
69,update-account.online,https://update-account.online,dns_gate,dns_error,dns_error,rejected
70,graniteindustriesinc.com,https://graniteindustriesinc.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
71,pornxmodel.click,https://pornxmodel.click,dns_gate,resolver_error,resolver_error,rejected
72,icicibank.net/login,https://icicibank.net/login,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
73,discretion.shop,https://discretion.shop,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
74,ank2014.biz,https://ank2014.biz,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
75,carelessvibe.com,https://carelessvibe.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
76,app-mkwangzhi.com,https://app-mkwangzhi.com,dns_gate,no_records,no_records,rejected
77,mis4624.cc,https://mis4624.cc,dns_gate,no_records,no_records,rejected
78,secure-login.com,https://secure-login.com,dns_gate,no_records,no_records,rejected
79,jardines10.com,https://jardines10.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
80,8eight.com.tw,https://8eight.com.tw,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
81,di9rke.top,https://di9rke.top,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
82,sweetcookii.com,https://sweetcookii.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
83,pnblndia-app.in,https://pnblndia-app.in,dns_gate,dns_error,dns_error,rejected
84,cifibiu.pro,https://cifibiu.pro,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
85,calmplatewindow.club,https://calmplatewindow.club,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
86,vertexapexgroupoptimalprocess.blog,https://vertexapexgroupoptimalprocess.blog,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
87,hollandgroupandassociates.com,https://hollandgroupandassociates.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
88,allsetfacilitygroup.com,https://allsetfacilitygroup.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
89,pnb-india.in,https://pnb-india.in,dns_gate,resolver_error,resolver_error,rejected
90,swiftdrops.store,https://swiftdrops.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
91,ncbackyardbouncers.com,https://ncbackyardbouncers.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
92,ivqojlz1513.top,https://ivqojlz1513.top,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
93,f1blue.com,https://f1blue.com,dns_gate,timeout,timeout,rejected
94,ibramep.com,https://ibramep.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
95,onl1nesbi.sbi/login,https://onl1nesbi.sbi/login,dns_gate,dns_error,dns_error,rejected
96,charmenowho.shop,https://charmenowho.shop,dns_gate,no_records,no_records,rejected
97,joel-angelina-wedding.com,https://joel-angelina-wedding.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
98,emon793hoky.online,https://emon793hoky.online,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
99,chargemoment.com,https://chargemoment.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
100,gothamfinn.co,https://gothamfinn.co,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
101,navaitour.online,https://navaitour.online,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
102,edugig.xyz,https://edugig.xyz,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
103,s-s-a.us,https://s-s-a.us,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
104,soyprotagonistafinanciero.com,https://soyprotagonistafinanciero.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
105,laoshuanliagou.bond,https://laoshuanliagou.bond,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
106,bluewaterpoolsusa.com,https://bluewaterpoolsusa.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
107,aithink.world,https://aithink.world,dns_gate,no_records,no_records,rejected
108,exerciseok.com,https://exerciseok.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
109,alyxara.com,https://alyxara.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
110,yktdeo.com,https://yktdeo.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
111,zentozavoveltopentolaxinilo.click,https://zentozavoveltopentolaxinilo.click,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
112,fxsnowcool.com,https://fxsnowcool.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
113,preprod-ucimtbworldseries.com,https://preprod-ucimtbworldseries.com,dns_gate,no_records,no_records,rejected
114,verify-kyc.com,https://verify-kyc.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
115,519zx.top,https://519zx.top,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
116,socioone.com,https://socioone.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
117,commerium.co.uk,https://commerium.co.uk,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
118,reward-expiry.com,https://reward-expiry.com,dns_gate,dns_error,dns_error,rejected
119,hraihpsa.ca,https://hraihpsa.ca,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
120,creditrepair-help.com,https://creditrepair-help.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
121,secure-kyc.com,https://secure-kyc.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
122,root-ro.info,https://root-ro.info,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
123,itplayegypt.win,https://itplayegypt.win,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
124,daisyfrost.com,https://daisyfrost.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
125,zrsanalyst.com,https://zrsanalyst.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
126,anxunh.top,https://anxunh.top,dns_gate,no_records,no_records,rejected
127,oliveandjunes.store,https://oliveandjunes.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
128,clayhole.click,https://clayhole.click,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
129,landscapebyvera.com,https://landscapebyvera.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
130,192.168.1,https://192.168.1,dns_gate,dns_error,dns_error,rejected
131,moisesdevweb.com,https://moisesdevweb.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
132,soilandturfconsulting.com,https://soilandturfconsulting.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
133,eeeey.cc,https://eeeey.cc,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
134,snackduel.com,https://snackduel.com,dns_gate,no_records,no_records,rejected
135,bogitekniikka.fi,https://bogitekniikka.fi,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
136,fjudoeuskadi.eus,https://fjudoeuskadi.eus,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
137,nmjiaojinginc.shop,https://nmjiaojinginc.shop,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
138,piezosistem.com,https://piezosistem.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
139,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,dns_gate,dns_error,dns_error,rejected
140,pumirpkin.live,https://pumirpkin.live,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
141,traverseskier.com,https://traverseskier.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
142,wintergroupsecurity.com,https://wintergroupsecurity.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
143,hixemuzydo.pro,https://hixemuzydo.pro,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
144,saudenervocuremax.shop,https://saudenervocuremax.shop,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
145,ybiscom.fr,https://ybiscom.fr,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
146,digifant.network,https://digifant.network,dns_gate,no_records,no_records,rejected
147,hometownsewickley.com,https://hometownsewickley.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
148,learningonly.store,https://learningonly.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
149,thelocksmithcrew.com,https://thelocksmithcrew.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
150,metaads.pro,https://metaads.pro,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
151,pnbindia-services.com,https://pnbindia-services.com,dns_gate,dns_error,dns_error,rejected
152,ub-futas.hu,https://ub-futas.hu,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
153,connect2people360x.info,https://connect2people360x.info,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
154,surpriseoflifellc.com,https://surpriseoflifellc.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
155,connectionsarchive.net,https://connectionsarchive.net,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
156,yataganharem5.click,https://yataganharem5.click,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
157,enerzyph.com,https://enerzyph.com,dns_gate,no_records,no_records,rejected
158,ventajp.com,https://ventajp.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
159,permabrows.us,https://permabrows.us,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
160,zh-ptgaming.com,https://zh-ptgaming.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
161,jiaotongzd.com,https://jiaotongzd.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
162,anptght-jp.com,https://anptght-jp.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
163,tonerrefillstoreho.shop,https://tonerrefillstoreho.shop,dns_gate,no_records,no_records,rejected
164,bazarcentofiori.com,https://bazarcentofiori.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
165,thinkproguard.com,https://thinkproguard.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
166,roisgloballogam.com,https://roisgloballogam.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
167,shelbyserves.com,https://shelbyserves.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
168,web365daftar.com,https://web365daftar.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
169,penn-hpp.com,https://penn-hpp.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
170,flydownloads.space,https://flydownloads.space,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
171,e7v7c6y.com,https://e7v7c6y.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
172,jicm0yo.vip,https://jicm0yo.vip,dns_gate,no_records,no_records,rejected
173,globalbookpublication.com,https://globalbookpublication.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
174,pornmega18.xyz,https://pornmega18.xyz,dns_gate,resolver_error,resolver_error,rejected
175,shaart.com,https://shaart.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
176,domain,https://domain,dns_gate,dns_error,dns_error,rejected
177,wildlayers.com,https://wildlayers.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
178,lesfermesdespoir.fr,https://lesfermesdespoir.fr,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
179,slexironphdrexox.world,https://slexironphdrexox.world,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
180,ezbrd.co,https://ezbrd.co,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
181,outlandscodex.ai,https://outlandscodex.ai,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
182,crplasticos.com.br,https://crplasticos.com.br,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
183,fresna.online,https://fresna.online,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
184,tuterrenoenchile.cl,https://tuterrenoenchile.cl,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
185,wantianzf.com,https://wantianzf.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
186,mikogpt.ru,https://mikogpt.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
187,kirin77.site,https://kirin77.site,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
188,vipslot.casino,https://vipslot.casino,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
189,thirdshelterpress.com,https://thirdshelterpress.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
190,uk-travel.ru,https://uk-travel.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
191,perchproject.org,https://perchproject.org,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
192,sportrade.blog,https://sportrade.blog,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
193,roblox303.store,https://roblox303.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
194,exodusbrk.com,https://exodusbrk.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
195,tutu-and-tiaras.com,https://tutu-and-tiaras.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
196,94498.qpon,https://94498.qpon,dns_gate,no_records,no_records,rejected
197,o3zxth.top,https://o3zxth.top,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
198,manto90.store,https://manto90.store,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
199,pnblndia.bank.in,https://pnblndia.bank.in,dns_gate,dns_error,dns_error,rejected
200,cppcccare.com,https://cppcccare.com,dns_gate,dns_error,dns_error,rejected
201,dq67r.top,https://dq67r.top,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
202,nevermindmedia.ch,https://nevermindmedia.ch,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
203,ampmskincare.com,https://ampmskincare.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
204,parquebatweania.com,https://parquebatweania.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
205,greenbeangirltrainingtutoring.com,https://greenbeangirltrainingtutoring.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
206,tayceculture.com,https://tayceculture.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
207,lfsidou.com,https://lfsidou.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
208,prototanya.org,https://prototanya.org,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
209,hgi5z6n1d.vip,https://hgi5z6n1d.vip,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
210,easy-sponso.com,https://easy-sponso.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
211,dikagegrid.click,https://dikagegrid.click,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
212,syxtherocrex.world,https://syxtherocrex.world,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
213,ofertaa643842315.sbs,https://ofertaa643842315.sbs,dns_gate,resolver_error,resolver_error,rejected
214,twentysixer.ru,https://twentysixer.ru,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
215,aetyk.cc,https://aetyk.cc,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
216,abx5n1n7.cc,https://abx5n1n7.cc,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
217,my-auth23948.com,https://my-auth23948.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
218,jlchuhai.com,https://jlchuhai.com,dns_gate,no_records,no_records,rejected
219,hysefo.com,https://hysefo.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
220,avbyfpho.shop,https://avbyfpho.shop,dns_gate,no_records,no_records,rejected
221,annarbormarket.com,https://annarbormarket.com,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
222,rush-bodyplan.homes,https://rush-bodyplan.homes,hashing_shortlist,below_threshold_or_fetch_failed,resolved,accepted
223,unqvrhr60.shop,https://unqvrhr60.shop,dns_gate,no_records,no_records,rejected
