Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,evidence_tier,lexical_score,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,review_reason
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sacred.cards,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.7714,False,False,True,fallback_top_k,fetched,not_attempted,,,https://expireddomains.com/domain/sacred.cards,,,,False,0,False,False,False,40,0,0,4,44,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_changed,False,False,False,1,1,expireddomains.com,expireddomains.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://hairsoulmate.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairsoulmate.sa.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,hairsoulmate.sa.com,hairsoulmate.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://lal.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://lal.sa.com,,,,False,0,False,False,False,40,0,0,0,40,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,lal.sa.com,lal.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://cloudhostreview.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.8667,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://cloudhostreview.com,,,,True,0,False,False,False,4,12,0,6,22,False,body_brand_match|login_form|auth_wording|js_redirect,False,True,False,1,0,cloudhostreview.com,,17865,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairspicy.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairspicy.sa.com,,,,False,0,False,False,False,24,0,0,0,24,False,meta_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairspicy.sa.com,hairspicy.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://clouday.org,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9429,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://clouday.org,,,,True,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,clouday.org,,787,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,http://cloudmemes.cloud,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,http://cloudmemes.cloud,,,,True,0,False,False,False,4,16,0,0,20,False,body_brand_match|form_action_mismatch,False,False,True,1,0,cloudmemes.cloud,,2121,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sacpa.cloud,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.7,False,False,True,fallback_top_k,fetched,not_attempted,,,https://sacpa.cloud,,,,False,0,False,False,False,12,4,6,0,22,False,body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider,False,False,False,1,0,sacpa.cloud,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairviolet.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairviolet.sa.com,,,,False,0,False,False,False,48,0,0,0,48,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairviolet.sa.com,hairviolet.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://cloudp5.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9429,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://cloudp5.com/login,,,,True,0,False,False,False,4,36,0,0,40,False,body_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,1,1,cloudp5.com,cloudp5.com,4420,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Informatics Centre (NIC),cloud.gov.in,https://cloudstuff.online,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://cloudstuff.online/login/?next=/,,,,True,0,False,False,False,0,26,0,0,26,False,password_field|login_form,True,True,False,0,1,cloudstuff.online,cloudstuff.online,4736,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://halton.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://halton.sa.com,,,,False,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,halton.sa.com,,8238,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Informatics Centre (NIC),cloud.gov.in,https://emcloud.site,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.9048,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://emcloudsite.cloudflareaccess.com/cdn-cgi/access/login/dash.emcloud.site?kid=4a9e40469e0c0a68fb03a548a9b343b7c0a3d8a73be6d7bcbb4ebacd2ba94e84&meta=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6ImY5MjljMTViODE0M2Q3NDIwMjFlOGIzNTkwM2YzMGUzMDU1MzhkMWY1YmQ3ZmE2MzU2Njk5YWFkNzNmYjRhMmQifQ.eyJ0eXBlIjoibWV0YSIsImF1ZCI6IjRhOWU0MDQ2OWUwYzBhNjhmYjAzYTU0OGE5YjM0M2I3YzBhM2Q4YTczYmU2ZDdiY2JiNGViYWNkMmJhOTRlODQiLCJob3N0bmFtZSI6ImRhc2guZW1jbG91ZC5zaXRlIiwicmVkaXJlY3RfdXJsIjoiLyIsInNlcnZpY2VfdG9rZW5fc3RhdHVzIjpmYWxzZSwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJleHAiOjE3NzU3MTQ2MTAsIm5iZiI6MTc3NTcxNDMxMCwiaWF0IjoxNzc1NzE0MzEwLCJhdXRoX3N0YXR1cyI6Ik5PTkUiLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfZG4iOiIiLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY29tbW9uX25hbWUiOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwicmVhbF9jb3VudHJ5IjoiSU4iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiMzZlNTc1ZTMyYjAwYjY2NDYxZDZkMDI1ZDhiMTUzZDBhNTJmYmFjNGQ4N2MxM2IwNWUwODcwMTkyZWEzYzlmOSJ9.W0-aTIjr6DfyNhlj7KEn1sgvC1LpRx1kdWze-4eVztJQI5Ebpyp3iXPhdJG3fxF9SOTE46M298-1cY41EeIjxjxPoSsx5HUPlqIOZIgfEZ_Cxn3HEDM_nPi-MQ-XlmfAmCYP3Z9ZLtFj4VZdIjs8qlqrx3ahGwU1Gy_5pgCLX1V1dwVJeiVYJrw5fwutP03o4KDoT8PTPIACGWoW0F4zUKGu-sEtnqJyVv4Vz1qzUKGBvijTrmqcH3Yg2az013tbJhf604IVAL64_kGzXizLdfNP_WkEqvaSysZ41ywAuMqmoa1yauPTqVLOULF97drb9AQevUp0tV2GSp-IXLbi1Q&redirect_url=%2F,,,,True,0,False,False,False,0,14,3,10,27,False,login_form|auth_wording|multi_input_form|multi_redirect_chain|js_redirect|final_domain_changed,False,True,False,0,2,emcloudsite.cloudflareaccess.com,,30297,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://hairrapid.sa.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://hairrapid.sa.com,,,,False,0,False,False,False,20,0,0,0,20,False,meta_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,hairrapid.sa.com,hairrapid.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,http://coalgen.com,PS-02_AIGR-S66270_NCIIPC_06_03_2026.xlsx,0.0,Low,weak_evidence,0.7371,False,False,True,fallback_top_k,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=coalgen.com,,,,False,0,False,False,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://aimlindia.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.7985,False,False,True,fallback_top_k,fetched,not_attempted,,,https://aimlindia.com,,,,False,0,False,False,False,4,18,0,0,22,False,body_brand_match|form_action_mismatch|multi_input_form,False,False,True,1,0,aimlindia.com,aimlindia.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sacherix.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6071,False,False,True,fallback_top_k,fetched,not_attempted,,,https://www.sacherix.com/,,,,False,0,False,False,False,40,0,0,0,40,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,1,www.sacherix.com,www.sacherix.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://cooolindia.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.7083,False,False,True,fallback_top_k,fetched,not_attempted,,,https://cooolindia.com,,,,False,0,False,False,False,28,0,6,0,34,False,title_brand_match|body_brand_match|suspicious_hosting_provider,False,False,False,1,0,cooolindia.com,cooolindia.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://myclouddy.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.8519,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://myclouddy.com,,,,True,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,myclouddy.com,,151,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://cloudsteps-boutique.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.8526,False,False,True,fallback_top_k|generic_token_only,fetched,not_attempted,,,https://cloudsteps-boutique.com,,,,True,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,cloudsteps-boutique.com,,151,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://iuwebmail.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6648,False,False,True,fallback_top_k,fetched,not_attempted,,,https://iuwebmail.com,,,,False,0,False,False,False,28,0,3,0,31,False,title_brand_match|body_brand_match|suspicious_certificate,False,False,False,1,0,iuwebmail.com,,407,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://school-student.sa.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://school-student.sa.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,school-student.sa.com,school-student.sa.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://science-digital.sa.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://science-digital.sa.com,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,science-digital.sa.com,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sachwort.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6071,False,False,True,fallback_top_k,fetched,not_attempted,,,https://sachwort.com,,,,False,0,False,False,False,44,0,0,6,50,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|js_redirect,False,False,False,1,0,sachwort.com,img.sedoparking.com,4239,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sactoh.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://www.sactoh.com/,,,,False,0,False,False,False,48,0,0,0,48,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,1,www.sactoh.com,www.sactoh.com,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://boanuc.sa.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://boanuc.sa.com,,,,False,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,boanuc.sa.com,,8238,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://innovationvision.sa.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://innovationvision.sa.com,,,,False,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,innovationvision.sa.com,,8268,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://bokeh69.sa.com,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6111,False,False,True,fallback_top_k,fetched,not_attempted,,,https://bokeh69.sa.com,,,,False,0,False,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,bokeh69.sa.com,,8241,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://sacgerd.online,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.7429,False,False,True,fallback_top_k,fetched,not_attempted,,,https://sacgerd.online,,,,False,0,False,False,False,12,4,6,0,22,False,body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider,False,False,False,1,0,sacgerd.online,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://isrofilamar.site,PS-02_AIGR-S66270_NCIIPC_28_02_2026.xlsx,0.0,Low,weak_evidence,0.6742,False,False,True,fallback_top_k,fetched,not_attempted,,,https://isrofilamar.site,,,,False,0,False,False,False,44,0,0,0,44,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,isrofilamar.site,,18625,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://swiftdrops.store,urls.xlsx,0.0,Low,weak_evidence,0.6333,False,False,True,fallback_top_k,fetched,not_attempted,,,https://swiftdrops.store,,,,False,0,False,False,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,swiftdrops.store,,151,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://essentialcleaningservicesusa.com,urls.xlsx,0.0,Low,weak_evidence,0.7024,False,False,True,fallback_top_k,fetched,not_attempted,,,https://essentialcleaningservicesusa.com,,,,False,0,False,False,False,12,4,6,0,22,False,body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider,False,False,False,1,0,essentialcleaningservicesusa.com,,32768,False,stage1_suspected_non_escalated,stage1_suspected_non_escalated
