Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://buildaion.us,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.0808,Low,58.0808,weak_evidence,0.8519,0.8519,0.7143,0.7143,True,False,jw_primary,lexical,False,score_threshold,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://aion.xyz/,,,,58.0808,25.5556,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,buildaion.us,,0,True,lexical_hit,0.7143,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\buildaion.us.png,aion — applied ai research lab,"aion — applied ai research lab applied ai research lab we build models, agents, and ai systems that power real-world operations. aion partners with enterprises to design and deploy end-to-end ai systems, combining custom models, intelligent agents, and production infrastructure to solve real operational problems. trusted by 88% of enterprises experiment
with ai, yet only 7% reach 
production scale. from pilot to production in months. we're fixing it most enterprises are stuck in an endless loop "
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://casinonye.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,60.2525,Low,60.2525,weak_evidence,0.8837,0.8837,0.6316,0.6616,True,False,jw_primary,lexical,False,score_threshold,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://casinonye.com/,,,,60.2525,26.5111,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,casinonye.com,,0,True,lexical_hit,0.6616,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\casinonye.com.png,,
Jio,jio.com,https://jiso88.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,Jio,True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://jiso88.org/,,,,59.0909,26.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiso88.org,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\jiso88.org.png,jiso88.org - jiso88 resources and information.,jiso88.org - jiso88 resources and information.
Election Commision of India (ECI),eci.gov.in,https://teci.nl,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,62.5,Low,62.5,weak_evidence,0.9167,0.9167,0.8571,0.8571,True,False,jw_primary,lexical,False,score_threshold,,True,Election Commision of India (ECI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://teci.nl/,,,,62.5,27.5,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,teci.nl,,0,True,lexical_hit,0.8571,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\teci.nl.png,dovendi - teci.nl is nu te koop,dovendi - teci.nl is nu te koop teci.nl deze domeinnaam is te koop via dovendi dovendi brengt koper en verkoper bij elkaar. we beheren ruim 250.000 internationale domeinnamen en bemiddelen in de verkoop van deze namen met als doel een goede deal voor alle partijen.
Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,https://iroris.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,Indian Railway Catering and Tourism Corporation (IRCTC),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://iroris.jp/,,,,59.0909,26.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,iroris.jp,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\iroris.jp.png,iroris,"iroris iroris iroris (歴史 + 理念) x ビジネス = iroris (歴史 + 理念) x ビジネス = iroris contact us sign up for our email list for updates, promotions, and more. this site is protected by recaptcha and the google privacy policy and terms of service apply. copyright © 2026 iroris - all rights reserved. powered by  we use cookies to analyze website traffic and optimize your website experience. by accepting our use of cookies, your data will be aggregated with all other user data."
Jio,jio.com,https://jiso99.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.6667,0.6967,True,False,jw_primary,lexical,False,score_threshold,,True,Jio,True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://jiso99.com/,,,,59.0909,26.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiso99.com,,0,True,lexical_hit,0.6967,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\jiso99.com.png,jiso99.com - jiso99 resources and information.,jiso99.com - jiso99 resources and information.
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://uidaiaadhardownload.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.134,Low,58.134,weak_evidence,0.8526,0.8526,0.4167,0.4167,True,False,jw_primary,lexical,False,score_threshold,,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://uidaiaadhardownload.com/,,,,58.134,25.5789,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uidaiaadhardownload.com,,0,True,lexical_hit,0.4167,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\uidaiaadhardownload.com.png,home - uidai aadhaar download,"home - uidai aadhaar download 
            download your aadhaar cardin just 5 minutes
         
            complete step-by-step guide to downloading your e-aadhaar online via uidai portal,
            digilocker, or maadhaar app — completely free, no paperwork needed.
         
            choose how to download aadhar card
         
            uidai provides three official ways to download your aadhaar. pick the one that's easiest for you.
         uidai website download directly from myaad"
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://caoni.horse,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://caoni.horse/,,,,59.0909,26.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,caoni.horse,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\caoni.horse.png,caoni.horse,caoni.horse this domain is registered at dynadot.com. website coming soon. we’re getting things ready loading your experience… this won’t take long.
Election Commision of India (ECI),eci.gov.in,https://ecibogut.link,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,58.2386,Low,58.2386,weak_evidence,0.8542,0.8542,0.5455,0.5455,True,False,jw_primary,lexical,False,score_threshold,,True,Election Commision of India (ECI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://ecibogut.link/opt/out,,,,58.2386,25.625,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecibogut.link,,0,True,lexical_hit,0.5455,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\ecibogut.link.png,," opt out to remove yourself from our clients' database enter your mobile number below. 
please enter your number in the local format
"
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://rupamsonline.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,60.2273,Low,60.2273,weak_evidence,0.8833,0.8833,0.8182,0.8482,True,False,jw_primary,lexical,False,score_threshold,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://rupamsonline.com/,,,,60.2273,26.5,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rupamsonline.com,,0,True,lexical_hit,0.8482,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\rupamsonline.com.png,rupam's | luxury family fashion,rupam's | luxury family fashion curating your experience fashion for the whole family where traditionmeets elegance coimbatore's most beloved boutique since 1995 royal ethnicsplendour luxury lehengas · designer sarees · bridal couture modern signaturestyle premium wedding suits · sherwanis · kurtas kids universeawaits playful · festive · premium modern outfits every piece is hand-selected for quality and artisanal excellence serving coimbatore families with pride since 1995 curated designs you w
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://appsonline.my.id,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,59.0909,Low,59.0909,weak_evidence,0.8667,0.8667,0.8,0.8,True,False,jw_primary,lexical,False,score_threshold,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://appsonline.my.id/,,,,59.0909,26.0,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,appsonline.my.id,,0,True,lexical_hit,0.8,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\appsonline.my.id.png,,
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://mgsonline.org,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,61.1111,Low,61.1111,weak_evidence,0.8963,0.8963,0.8421,0.8421,True,False,jw_primary,lexical,False,score_threshold,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://mgsonline.org/,,,,61.1111,26.8889,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,mgsonline.org,,0,True,lexical_hit,0.8421,0.75,anchor_typo,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\mgsonline.org.png,error,error looks like this domain isn'tconnected to a website yet
Election Commision of India (ECI),eci.gov.in,https://ecimai.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,60.2273,Low,60.2273,weak_evidence,0.8833,0.8833,0.6667,0.6667,True,False,jw_primary,lexical,False,score_threshold,,True,Election Commision of India (ECI),True,True,True,False,score_threshold,score_threshold,fetched,available,,,https://ecimai.com/,,,,60.2273,26.5,0.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecimai.com,,0,True,lexical_hit,0.6667,0.75,below_min_score,0.0,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\ecimai.com.png,ecimai - ai advisory for the full technology stack,"ecimai - ai advisory for the full technology stack navigate the full ai economy ecimai helps mid-market organizations understand where ai creates real value — from energy infrastructure through to applications. strategy, execution, and marketing for the ai age. built at the intersection of engineering and intelligence most ai advisory firms focus exclusively on applications — the visible software layer. they miss the reality that ai runs on physical infrastructure, consumes real energy, and depe"
