target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
landscapebyvera.com,urls.xlsx,landscapebyvera.com,192.64.119.228,resolved,accepted,1,0,False,default
allsetfacilitygroup.com,urls.xlsx,allsetfacilitygroup.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted,1,0,False,default
preprod-ucimtbworldseries.com,urls.xlsx,preprod-ucimtbworldseries.com,,no_records,rejected,1,0,False,default
socioone.com,urls.xlsx,socioone.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
tutu-and-tiaras.com,urls.xlsx,tutu-and-tiaras.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
doggiemax.com,urls.xlsx,doggiemax.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
creationorder.net,urls.xlsx,creationorder.net,34.216.117.25;54.149.79.189,resolved,accepted,1,0,False,default
vertexapexgroupoptimalprocess.blog,urls.xlsx,vertexapexgroupoptimalprocess.blog,162.255.119.169,resolved,accepted,1,0,False,default
graniteindustriesinc.com,urls.xlsx,graniteindustriesinc.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted,1,0,False,default
airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtell.ai,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
brandmappr.com,urls.xlsx,brandmappr.com,192.64.119.32,resolved,accepted,1,0,False,default
8eight.com.tw,urls.xlsx,8eight.com.tw,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
intelectusai.com,urls.xlsx,intelectusai.com,,no_records,rejected,1,0,False,default
creditrepair-help.com,urls.xlsx,creditrepair-help.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
wfbmus.org,urls.xlsx,wfbmus.org,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
quadbottles.store,urls.xlsx,quadbottles.store,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
surpriseoflifellc.com,urls.xlsx,surpriseoflifellc.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
bluewaterpoolsusa.com,urls.xlsx,bluewaterpoolsusa.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
s-s-a.us,urls.xlsx,s-s-a.us,162.255.119.81,resolved,accepted,1,0,False,default
hollandgroupandassociates.com,urls.xlsx,hollandgroupandassociates.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
pnblndia.in,urls.xlsx,pnblndia.in,,dns_error,rejected,1,0,False,default
thepatoolkit.com,urls.xlsx,thepatoolkit.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
permabrows.us,urls.xlsx,permabrows.us,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
carelessvibe.com,urls.xlsx,carelessvibe.com,13.248.169.48;76.223.54.146,resolved,accepted,1,0,False,default
ampmskincare.com,urls.xlsx,ampmskincare.com,13.248.169.48;76.223.54.146,resolved,accepted,1,0,False,default
chillcollege.com,urls.xlsx,chillcollege.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
daisyfrost.com,urls.xlsx,daisyfrost.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
soilandturfconsulting.com,urls.xlsx,soilandturfconsulting.com,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
domain,urls.xlsx,domain,,dns_error,rejected,1,0,False,default
uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,uidaiaadhardownload.com,147.79.69.160;2a02:4780:1f:26b2:bf78:7bd5:169a:bee5;2a02:4780:20:5619:cc9c:bd24:596e:ffda;93.127.173.206,resolved,accepted,1,0,False,default
192.168.1,urls.xlsx,192.168.1,,dns_error,rejected,1,0,False,default
annarbormarket.com,urls.xlsx,annarbormarket.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted,1,0,False,default
airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtele.xyz,,dns_error,rejected,1,0,False,default
rosastoneeg.com,urls.xlsx,rosastoneeg.com,2607:f1c0:100f:f000::200;74.208.236.58,resolved,accepted,1,0,False,default
digifant.network,urls.xlsx,digifant.network,,no_records,rejected,1,0,False,default
pulsefck.store,urls.xlsx,pulsefck.store,2607:f1c0:100f:f000::200;74.208.236.228,resolved,accepted,1,0,False,default
axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,axisupi.com,162.255.119.13,resolved,accepted,1,0,False,default
onlinesbi.sbi.update-rewards.xyz,urls.xlsx,onlinesbi.sbi.update-rewards.xyz,,dns_error,rejected,1,0,False,default
icicibank.net/login,urls.xlsx,icicibank.net,13.127.144.160,resolved,accepted,1,0,False,default
sbi.co.in.login.banking-services.net/234/redirect,urls.xlsx,sbi.co.in.login.banking-services.net,,dns_error,rejected,1,0,False,default
navaitour.online,urls.xlsx,navaitour.online,95.163.244.138,resolved,accepted,1,0,False,default
airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtel-merchants.club,,no_records,rejected,1,0,False,default
rjpnbv.com,urls.xlsx,rjpnbv.com,,no_records,rejected,1,0,False,default
aithink.world,urls.xlsx,aithink.world,,no_records,rejected,1,0,False,default
anxunh.top,urls.xlsx,anxunh.top,,no_records,rejected,1,0,False,default
barbara-michelle.com,urls.xlsx,barbara-michelle.com,199.15.163.139,resolved,accepted,1,0,False,default
allnaturalherbalmedicines.com,urls.xlsx,allnaturalherbalmedicines.com,199.15.163.139,resolved,accepted,1,0,False,default
ank2014.biz,urls.xlsx,ank2014.biz,199.15.163.139,resolved,accepted,1,0,False,default
ybiscom.fr,urls.xlsx,ybiscom.fr,2001:8d8:100f:f000::200;217.160.0.184,resolved,accepted,1,0,False,default
brierleysovereigngroup.info,urls.xlsx,brierleysovereigngroup.info,2001:8d8:100f:f000::200;217.160.0.80,resolved,accepted,1,0,False,default
ibramep.com,urls.xlsx,ibramep.com,162.240.81.81,resolved,accepted,1,0,False,default
paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,paarivahan.com,,dns_error,rejected,1,0,False,default
pnb-netbanking.net,urls.xlsx,pnb-netbanking.net,,dns_error,rejected,1,0,False,default
sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,sbireward.com,,dns_error,rejected,1,0,False,default
tutera.ru,urls.xlsx,tutera.ru,72.56.4.24,resolved,accepted,1,0,False,default
secure-login.com,urls.xlsx,secure-login.com,,no_records,rejected,1,0,False,default
pnbindia-services.com,urls.xlsx,pnbindia-services.com,,dns_error,rejected,1,0,False,default
sbi.com-kyc.net/login,urls.xlsx,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
sbi-secure-login.com,urls.xlsx,sbi-secure-login.com,,dns_error,rejected,1,0,False,default
logrenuunics.com,urls.xlsx,logrenuunics.com,,no_records,rejected,1,0,False,default
mikogpt.ru,urls.xlsx,mikogpt.ru,194.67.88.118,resolved,accepted,1,0,False,default
fxsnowcool.com,urls.xlsx,fxsnowcool.com,103.47.82.81,resolved,accepted,1,0,False,default
twentysixer.ru,urls.xlsx,twentysixer.ru,185.20.46.254,resolved,accepted,1,0,False,default
pnbindia-kyd.com,urls.xlsx,pnbindia-kyd.com,,dns_error,rejected,1,0,False,default
pornxmodel.click,urls.xlsx,pornxmodel.click,,resolver_error,rejected,3,2,False,fallback
pnb-india.in,urls.xlsx,pnb-india.in,,resolver_error,rejected,3,2,False,fallback
pornmega18.xyz,urls.xlsx,pornmega18.xyz,,resolver_error,rejected,3,2,False,fallback
ofertaa643842315.sbs,urls.xlsx,ofertaa643842315.sbs,,resolver_error,rejected,3,2,False,fallback
abfquoelx.com,urls.xlsx,abfquoelx.com,,resolver_error,rejected,3,2,False,fallback
f1blue.com,urls.xlsx,f1blue.com,,resolver_error,rejected,3,2,False,fallback
