target_url,hostname,resolved_ips,dns_status,decision
conciergerie-niort.fr,conciergerie-niort.fr,147.79.69.68;2a02:4780:1f:a5b9:73b4:1d:41e6:e8ae;2a02:4780:3c:719a:bab2:68e8:7e37:1519;91.108.106.92,resolved,accepted
zentozavoveltopentolaxinilo.click,zentozavoveltopentolaxinilo.click,195.74.90.249;2a0f:e1c0:37a:6a3::1,resolved,accepted
barbara-michelle.com,barbara-michelle.com,199.15.163.139,resolved,accepted
fxsnowcool.com,fxsnowcool.com,103.47.82.81,resolved,accepted
itplayegypt.win,itplayegypt.win,104.21.96.55;172.67.173.74;2606:4700:3033::6815:6037;2606:4700:3033::ac43:ad4a,resolved,accepted
elit-stomatolog.ru,elit-stomatolog.ru,91.226.30.3,resolved,accepted
perchproject.org,perchproject.org,24.144.83.45,resolved,accepted
roisgloballogam.com,roisgloballogam.com,103.123.62.41,resolved,accepted
globalbookpublication.com,globalbookpublication.com,2a02:4780:1f:5ff6:2979:15bd:81c3:7ac7;2a02:4780:20:5e80:b35e:2c46:5d61:9c13;88.222.243.108;93.127.173.177,resolved,accepted
creditrepair-help.com,creditrepair-help.com,15.197.148.33;3.33.130.190,resolved,accepted
snowtime.shop,snowtime.shop,13.248.243.5;76.223.105.230,resolved,accepted
mis4624.cc,mis4624.cc,,no_records,rejected
oliveandjunes.store,oliveandjunes.store,198.144.158.34,resolved,accepted
nevermindmedia.ch,nevermindmedia.ch,2.57.91.91,resolved,accepted
soyprotagonistafinanciero.com,soyprotagonistafinanciero.com,216.24.57.1,resolved,accepted
penn-hpp.com,penn-hpp.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted
bluewaterpoolsusa.com,bluewaterpoolsusa.com,15.197.148.33;3.33.130.190,resolved,accepted
n6k6jqg8.top,n6k6jqg8.top,,no_records,rejected
kycedeoni.autos,kycedeoni.autos,104.21.10.195;172.67.190.210;2606:4700:3030::ac43:bed2;2606:4700:3037::6815:ac3,resolved,accepted
greenbeangirltrainingtutoring.com,greenbeangirltrainingtutoring.com,76.223.113.161,resolved,accepted
bogitekniikka.fi,bogitekniikka.fi,85.234.242.129,resolved,accepted
chargemoment.com,chargemoment.com,44.227.65.245;44.227.76.166,resolved,accepted
shaart.com,shaart.com,64.190.63.222,resolved,accepted
bramclaw.my.id,bramclaw.my.id,34.124.245.24,resolved,accepted
brandmappr.com,brandmappr.com,192.64.119.32,resolved,accepted
my-auth23948.com,my-auth23948.com,179.43.172.199,resolved,accepted
zh-ptgaming.com,zh-ptgaming.com,107.151.100.106,resolved,accepted
intelectusai.com,intelectusai.com,52.20.84.62,resolved,accepted
laoshuanliagou.bond,laoshuanliagou.bond,104.21.58.211;172.67.207.180;2606:4700:3031::ac43:cfb4;2606:4700:3034::6815:3ad3,resolved,accepted
gothamfinn.co,gothamfinn.co,104.21.84.162;172.67.195.58;2606:4700:3031::ac43:c33a;2606:4700:3032::6815:54a2,resolved,accepted
anxunh.top,anxunh.top,,no_records,rejected
outlandscodex.ai,outlandscodex.ai,132.148.180.251,resolved,accepted
jlchuhai.com,jlchuhai.com,,no_records,rejected
shelbyserves.com,shelbyserves.com,104.21.24.128;172.67.218.236;2606:4700:3030::6815:1880;2606:4700:3032::ac43:daec,resolved,accepted
twentysixer.ru,twentysixer.ru,185.20.46.254,resolved,accepted
dynamicdigitalmastery.com,dynamicdigitalmastery.com,162.159.140.166,resolved,accepted
syxtherocrex.world,syxtherocrex.world,104.21.12.39;172.67.151.133;2606:4700:3032::ac43:9785;2606:4700:3034::6815:c27,resolved,accepted
fjudoeuskadi.eus,fjudoeuskadi.eus,134.0.15.164,resolved,accepted
graniteindustriesinc.com,graniteindustriesinc.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted
saudenervocuremax.shop,saudenervocuremax.shop,2a02:4780:20:da36:dd27:30f7:e34e:2fc0;2a02:4780:3d:5090:9193:6ebe:f02c:8626;88.222.243.222;93.127.173.75,resolved,accepted
hometownsewickley.com,hometownsewickley.com,23.227.38.73;2620:127:f00f:d::,resolved,accepted
wintergroupsecurity.com,wintergroupsecurity.com,192.64.119.43,resolved,accepted
wantianzf.com,wantianzf.com,104.21.37.76;172.67.205.227;2606:4700:3031::6815:254c;2606:4700:3033::ac43:cde3,resolved,accepted
enerzyph.com,enerzyph.com,,no_records,rejected
wildlayers.com,wildlayers.com,66.235.200.146,resolved,accepted
ampmskincare.com,ampmskincare.com,13.248.169.48;76.223.54.146,resolved,accepted
jiaotongzd.com,jiaotongzd.com,104.21.8.106;172.67.157.76;2606:4700:3030::ac43:9d4c;2606:4700:3035::6815:86a,resolved,accepted
thirdshelterpress.com,thirdshelterpress.com,15.197.148.33;3.33.130.190,resolved,accepted
permabrows.us,permabrows.us,13.248.243.5;76.223.105.230,resolved,accepted
edugig.xyz,edugig.xyz,216.150.1.193;216.150.16.129,resolved,accepted
thepatoolkit.com,thepatoolkit.com,15.197.148.33;3.33.130.190,resolved,accepted
discretion.shop,discretion.shop,13.248.169.48;76.223.54.146,resolved,accepted
surpriseoflifellc.com,surpriseoflifellc.com,13.248.243.5;76.223.105.230,resolved,accepted
dikagegrid.click,dikagegrid.click,104.21.94.220;172.67.140.138;2606:4700:3033::6815:5edc;2606:4700:3035::ac43:8c8a,resolved,accepted
inwestonauci.pl,inwestonauci.pl,2001:4860:4802:32::15;2001:4860:4802:34::15;2001:4860:4802:36::15;2001:4860:4802:38::15;216.239.32.21;216.239.34.21;216.239.36.21;216.239.38.21,resolved,accepted
tnkproject.com,tnkproject.com,216.198.79.1;216.198.79.65,resolved,accepted
sportrade.blog,sportrade.blog,104.21.49.121;172.67.162.124;2606:4700:3031::ac43:a27c;2606:4700:3033::6815:3179,resolved,accepted
lucilalehmann.com,lucilalehmann.com,,dns_error,rejected
easy-sponso.com,easy-sponso.com,195.154.224.71;195.154.234.75;2001:bc8:1203:215::4b;2001:bc8:702:70::47,resolved,accepted
thelocksmithcrew.com,thelocksmithcrew.com,13.248.243.5;76.223.105.230,resolved,accepted
8740i4ji8ki.shop,8740i4ji8ki.shop,,no_records,rejected
swiftdrops.store,swiftdrops.store,23.227.38.65;2620:127:f00f:5::,resolved,accepted
519zx.top,519zx.top,103.43.9.216;103.43.9.220;103.43.9.254;134.122.188.32;134.122.188.80;14.128.35.176;154.12.93.106;154.12.93.60;20.2.86.88;20.205.18.210;20.243.129.4;20.255.44.19;57.158.27.206,resolved,accepted
sweetcookii.com,sweetcookii.com,13.215.239.219;2406:da18:b3d:e201::258;2406:da18:b3d:e201::259;52.74.6.109,resolved,accepted
yataganharem5.click,yataganharem5.click,104.21.34.199;172.67.164.121;2606:4700:3035::6815:22c7;2606:4700:3035::ac43:a479,resolved,accepted
dq67r.top,dq67r.top,154.215.0.123;202.79.172.240;206.119.188.48,resolved,accepted
8eight.com.tw,8eight.com.tw,15.197.148.33;3.33.130.190,resolved,accepted
root-ro.info,root-ro.info,198.199.71.136,resolved,accepted
metaads.pro,metaads.pro,2.57.91.91,resolved,accepted
lml2vipaff05.cc,lml2vipaff05.cc,104.21.54.52;172.67.223.217;2606:4700:3031::ac43:dfd9;2606:4700:3034::6815:3634,resolved,accepted
94498.qpon,94498.qpon,,no_records,rejected
allsetfacilitygroup.com,allsetfacilitygroup.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted
f1blue.com,f1blue.com,,timeout,rejected
allnaturalherbalmedicines.com,allnaturalherbalmedicines.com,199.15.163.139,resolved,accepted
snackduel.com,snackduel.com,,no_records,rejected
socioone.com,socioone.com,13.248.243.5;76.223.105.230,resolved,accepted
di9rke.top,di9rke.top,137.220.136.99,resolved,accepted
tredmind.com,tredmind.com,104.21.51.238;172.67.191.181;2606:4700:3033::6815:33ee;2606:4700:3035::ac43:bfb5,resolved,accepted
ivqojlz1513.top,ivqojlz1513.top,162.209.131.211;162.209.131.212;172.247.188.114;172.247.188.115;172.247.188.116,resolved,accepted
anptght-jp.com,anptght-jp.com,104.21.39.111;172.67.144.148;2606:4700:3030::ac43:9094;2606:4700:3033::6815:276f,resolved,accepted
jicm0yo.vip,jicm0yo.vip,,no_records,rejected
roblox303.store,roblox303.store,104.21.49.144;172.67.163.169;2606:4700:3032::6815:3190;2606:4700:3033::ac43:a3a9,resolved,accepted
domain,domain,,dns_error,rejected
o3zxth.top,o3zxth.top,137.220.136.99,resolved,accepted
carelessvibe.com,carelessvibe.com,13.248.169.48;76.223.54.146,resolved,accepted
prototanya.org,prototanya.org,104.21.66.248;172.67.166.137;2606:4700:3033::ac43:a689;2606:4700:3037::6815:42f8,resolved,accepted
pulsefck.store,pulsefck.store,2607:f1c0:100f:f000::200;74.208.236.228,resolved,accepted
pack101.org,pack101.org,,no_records,rejected
hixemuzydo.pro,hixemuzydo.pro,104.21.26.150;172.67.136.135;2606:4700:3030::ac43:8887;2606:4700:3032::6815:1a96,resolved,accepted
digifant.network,digifant.network,,no_records,rejected
bazarcentofiori.com,bazarcentofiori.com,52.223.13.41,resolved,accepted
ank2014.biz,ank2014.biz,199.15.163.139,resolved,accepted
tayceculture.com,tayceculture.com,199.34.228.171,resolved,accepted
scarpe-it.ru,scarpe-it.ru,104.21.63.33;172.67.169.110;2606:4700:3036::ac43:a96e;2606:4700:3037::6815:3f21,resolved,accepted
ofertaa643842315.sbs,ofertaa643842315.sbs,,no_records,rejected
udbijaayurveda.com,udbijaayurveda.com,147.93.100.63;2a02:4780:11:1932:0:1322:fde5:10,resolved,accepted
traverseskier.com,traverseskier.com,44.227.65.245;44.227.76.166,resolved,accepted
mikogpt.ru,mikogpt.ru,194.67.88.118,resolved,accepted
rush-bodyplan.homes,rush-bodyplan.homes,104.21.4.28;172.67.131.149;2606:4700:3033::6815:41c;2606:4700:3034::ac43:8395,resolved,accepted
eeeey.cc,eeeey.cc,154.26.247.133,resolved,accepted
786786786786.com,786786786786.com,,no_records,rejected
clayhole.click,clayhole.click,104.21.42.28;172.67.199.68;2606:4700:3031::ac43:c744;2606:4700:3035::6815:2a1c,resolved,accepted
thinkproguard.com,thinkproguard.com,104.21.27.112;172.67.169.35;2606:4700:3036::6815:1b70;2606:4700:3037::ac43:a923,resolved,accepted
doggiemax.com,doggiemax.com,15.197.148.33;3.33.130.190,resolved,accepted
brierleysovereigngroup.info,brierleysovereigngroup.info,2001:8d8:100f:f000::200;217.160.0.80,resolved,accepted
jardines10.com,jardines10.com,15.197.148.33;3.33.130.190,resolved,accepted
preprod-ucimtbworldseries.com,preprod-ucimtbworldseries.com,,no_records,rejected
inesceramica.pt,inesceramica.pt,13.215.239.219;52.74.6.109,resolved,accepted
connectionsarchive.net,connectionsarchive.net,104.21.88.162;172.67.186.9;2606:4700:3033::6815:58a2;2606:4700:3033::ac43:ba09,resolved,accepted
essentialcleaningservicesusa.com,essentialcleaningservicesusa.com,147.79.69.181;2a02:4780:20:cea2:d83b:fb80:bb2c:a2fa;2a02:4780:3c:4d36:959c:a2a2:e02f:d2f3;91.108.106.116,resolved,accepted
netsafe.ovh,netsafe.ovh,46.225.212.48,resolved,accepted
yktdeo.com,yktdeo.com,104.21.92.135;172.67.194.133;2606:4700:3033::ac43:c285;2606:4700:3036::6815:5c87,resolved,accepted
learningonly.store,learningonly.store,64.190.63.222,resolved,accepted
annarbormarket.com,annarbormarket.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted
pumirpkin.live,pumirpkin.live,104.17.232.29,resolved,accepted
coastalcounselingcenter.org,coastalcounselingcenter.org,,dns_error,rejected
mediavision.store,mediavision.store,13.248.169.48;76.223.54.146,resolved,accepted
logrenuunics.com,logrenuunics.com,,no_records,rejected
exodusbrk.com,exodusbrk.com,185.151.30.152;2a07:7800::152,resolved,accepted
landscapebyvera.com,landscapebyvera.com,192.64.119.228,resolved,accepted
charmenowho.shop,charmenowho.shop,,no_records,rejected
wfbmus.org,wfbmus.org,13.248.243.5;76.223.105.230,resolved,accepted
ncbackyardbouncers.com,ncbackyardbouncers.com,66.223.49.89,resolved,accepted
phoenixwanderlust.in,phoenixwanderlust.in,2.57.91.91,resolved,accepted
exerciseok.com,exerciseok.com,52.20.84.62,resolved,accepted
avbyfpho.shop,avbyfpho.shop,,no_records,rejected
fresna.online,fresna.online,2.57.91.91,resolved,accepted
ub-futas.hu,ub-futas.hu,91.227.139.41,resolved,accepted
calmplatewindow.club,calmplatewindow.club,104.21.15.139;172.67.162.172;2606:4700:3037::6815:f8b;2606:4700:3037::ac43:a2ac,resolved,accepted
ibramep.com,ibramep.com,162.240.81.81,resolved,accepted
beton888bonuuz30rb.cyou,beton888bonuuz30rb.cyou,104.21.74.23;172.67.153.109;2606:4700:3032::6815:4a17;2606:4700:3035::ac43:996d,resolved,accepted
jskbalaghat.org,jskbalaghat.org,162.241.123.163,resolved,accepted
freedomroadfinancialdealerhub.com,freedomroadfinancialdealerhub.com,208.91.197.27,resolved,accepted
piezosistem.com,piezosistem.com,62.149.189.55,resolved,accepted
lesfermesdespoir.fr,lesfermesdespoir.fr,51.91.25.239,resolved,accepted
