target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtell.ai,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
coastalcounselingcenter.org,urls.xlsx,coastalcounselingcenter.org,,dns_error,rejected,1,0,False,default
94498.qpon,urls.xlsx,94498.qpon,,no_records,rejected,1,0,False,default
paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,paarivahan.com,,dns_error,rejected,1,0,False,default
sbi-secure-login.com,urls.xlsx,sbi-secure-login.com,,dns_error,rejected,1,0,False,default
unqvrhr60.shop,urls.xlsx,unqvrhr60.shop,,no_records,rejected,1,0,False,default
sbi.com-kyc.net/login,urls.xlsx,sbi.com-kyc.net,,dns_error,rejected,1,0,False,default
sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,sbireward.com,,dns_error,rejected,1,0,False,default
pnb-netbanking.net,urls.xlsx,pnb-netbanking.net,,dns_error,rejected,1,0,False,default
pnbindia-kyd.com,urls.xlsx,pnbindia-kyd.com,,dns_error,rejected,1,0,False,default
pnbindia-services.com,urls.xlsx,pnbindia-services.com,,dns_error,rejected,1,0,False,default
dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,AIGR-S66270_Ground_Truth.xlsx,dghjdgf.com,,dns_error,rejected,1,0,False,default
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,AIGR-S66270_Ground_Truth.xlsx,dutchweb.gtphost.com,,dns_error,rejected,1,0,False,default
reward-expiry.com,urls.xlsx,reward-expiry.com,,dns_error,rejected,1,0,False,default
pornxmodel.click,urls.xlsx,pornxmodel.click,,resolver_error,rejected,1,0,False,default
cppcccare.com,urls.xlsx,cppcccare.com,,dns_error,rejected,1,0,False,default
wintergroupsecurity.com,urls.xlsx,wintergroupsecurity.com,192.64.119.43,resolved,accepted,1,0,False,default
aithink.world,urls.xlsx,aithink.world,,no_records,rejected,1,0,False,default
americanexpress-reward00175.ink,urls.xlsx,americanexpress-reward00175.ink,34.106.190.115,resolved,accepted,1,0,False,default
ank2014.biz,urls.xlsx,ank2014.biz,199.15.163.139,resolved,accepted,1,0,False,default
786786786786.com,urls.xlsx,786786786786.com,,no_records,rejected,1,0,False,default
pnb-india.in,urls.xlsx,pnb-india.in,,resolver_error,rejected,1,0,False,default
axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,axisupi.com,162.255.119.13,resolved,accepted,1,0,False,default
uidaiaadhardownload.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,uidaiaadhardownload.com,147.79.69.217;2a02:4780:20:5216:68af:2944:5e63:de15;2a02:4780:3d:d936:cb5f:36c3:edbc:1f9;91.108.106.106,resolved,accepted,1,0,False,default
icicibank.net/login,urls.xlsx,icicibank.net,13.127.144.160,resolved,accepted,1,0,False,default
8740i4ji8ki.shop,urls.xlsx,8740i4ji8ki.shop,,no_records,rejected,1,0,False,default
lucilalehmann.com,urls.xlsx,lucilalehmann.com,,no_records,rejected,1,0,False,default
snackduel.com,urls.xlsx,snackduel.com,,no_records,rejected,1,0,False,default
jlchuhai.com,urls.xlsx,jlchuhai.com,,no_records,rejected,1,0,False,default
sbi.co.in.login.banking-services.net/234/redirect,urls.xlsx,sbi.co.in.login.banking-services.net,,dns_error,rejected,1,0,False,default
5500betsk.com,urls.xlsx,5500betsk.com,104.21.39.157;172.67.146.184;2606:4700:3030::6815:279d;2606:4700:3037::ac43:92b8,resolved,accepted,1,0,False,default
creationorder.net,urls.xlsx,creationorder.net,34.216.117.25;54.149.79.189,resolved,accepted,1,0,False,default
pornmega18.xyz,urls.xlsx,pornmega18.xyz,,resolver_error,rejected,1,0,False,default
twentysixer.ru,urls.xlsx,twentysixer.ru,185.20.46.254,resolved,accepted,1,0,False,default
intelectusai.com,urls.xlsx,intelectusai.com,,no_records,rejected,1,0,False,default
o3zxth.top,urls.xlsx,o3zxth.top,137.220.136.112;137.220.136.137;137.220.136.138;149.104.32.205;149.104.32.206,resolved,accepted,1,0,False,default
ofertaa643842315.sbs,urls.xlsx,ofertaa643842315.sbs,,resolver_error,rejected,1,0,False,default
rjpnbv.com,urls.xlsx,rjpnbv.com,,no_records,rejected,1,0,False,default
abfquoelx.com,urls.xlsx,abfquoelx.com,,resolver_error,rejected,1,0,False,default
anxunh.top,urls.xlsx,anxunh.top,,no_records,rejected,1,0,False,default
secure-login.com,urls.xlsx,secure-login.com,,no_records,rejected,1,0,False,default
rosastoneeg.com,urls.xlsx,rosastoneeg.com,2607:f1c0:100f:f000::200;74.208.236.58,resolved,accepted,1,0,False,default
fxsnowcool.com,urls.xlsx,fxsnowcool.com,103.47.82.81,resolved,accepted,1,0,False,default
dq67r.top,urls.xlsx,dq67r.top,154.215.0.123;202.79.172.240;206.119.188.48,resolved,accepted,1,0,False,default
barbara-michelle.com,urls.xlsx,barbara-michelle.com,199.15.163.139,resolved,accepted,1,0,False,default
allnaturalherbalmedicines.com,urls.xlsx,allnaturalherbalmedicines.com,199.15.163.139,resolved,accepted,1,0,False,default
f1blue.com,urls.xlsx,f1blue.com,,timeout,rejected,1,0,False,default
