Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://shadesofbabes.com,123456.xlsx,0.0,Low,,weak_evidence,0.6603,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.shadesofbabes.com/,,,,,,,,False,28,0,0,4,32,False,title_brand_match|body_brand_match|iframe_present,False,False,False,1,1,www.shadesofbabes.com,www.shadesofbabes.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://inset-sk.com,123456.xlsx,0.0,Low,,weak_evidence,0.6333,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://inset-sk.com,,,,,,,,False,8,16,0,0,24,False,body_brand_match|favicon_brand_match|form_action_mismatch,False,False,True,1,0,inset-sk.com,inset-sk.com,19254,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://caogi.com,123456.xlsx,0.0,Low,,weak_evidence,0.8114,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=caogi.com,,,,,,,,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://max-armbrecht-leukaemiehilfe.org,123456.xlsx,0.0,Low,,weak_evidence,0.619,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.max-armbrecht-leukaemiehilfe.org/,,,,,,,,False,8,28,3,0,39,False,body_brand_match|favicon_brand_match|password_field|login_form|multi_input_form|multi_redirect_chain,True,True,False,1,2,www.max-armbrecht-leukaemiehilfe.org,www.max-armbrecht-leukaemiehilfe.org,15563,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://thetaxsolicitor.com,123456.xlsx,0.0,Low,,weak_evidence,0.65,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://thetaxsolicitor.com,,,,,,,,False,4,16,0,0,20,False,body_brand_match|form_action_mismatch,False,False,True,1,0,thetaxsolicitor.com,,2125,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Axis Bank,axismaxlife.com,https://takashimcl.com,123456.xlsx,0.0,Low,,weak_evidence,0.6596,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.takashimcl.com/,,,,,,,,False,0,36,0,0,36,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,0,1,www.takashimcl.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://marinharegistro.shop,123456.xlsx,0.0,Low,,weak_evidence,0.6593,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://marinharegistro.shop,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,marinharegistro.shop,,270,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://qhealthcareverify.com,123456.xlsx,0.0,Low,,weak_evidence,0.5948,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.qhealthcareverify.com/Login/Login?u=https%3a%2f%2fwww.qhealthcareverify.com%2f,,,,,,,,False,0,34,3,0,37,False,password_field|login_form|auth_wording|submit_auth_wording|multi_redirect_chain,True,True,False,0,2,www.qhealthcareverify.com,,4014,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://apexpoolco.com,123456.xlsx,0.0,Low,,weak_evidence,0.6,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://apexpoolco.com,,,,,,,,False,4,14,6,0,24,False,body_brand_match|login_form|auth_wording|multi_input_form|suspicious_hosting_provider,False,True,False,1,0,apexpoolco.com,,8522,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://numispeixoto.pt,123456.xlsx,0.0,Low,,weak_evidence,0.6278,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://numispeixoto.pt,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,numispeixoto.pt,,318,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://gr9k6nt.com,123456.xlsx,0.0,Low,,weak_evidence,0.6012,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,head_error,,https://v6p3x7.com/download?&from=gr9k6nt.com&_ts=%3D%3DgMyUSM1MDO4gjN2QTN3cTMyITJ,,,,,,,,False,12,4,0,4,20,False,meta_brand_match|body_brand_match|auth_wording|final_domain_changed,False,False,False,1,1,v6p3x7.com,upload-us.i-j-2-k.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://lizanifaxuvavikoluku.info,123456.xlsx,0.0,Low,,weak_evidence,0.5833,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://lizanifaxuvavikoluku.info,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,lizanifaxuvavikoluku.info,,162,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://icefishinguk.uk,123456.xlsx,0.0,Low,,weak_evidence,0.7689,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://icefishinguk.uk,,,,,,,,False,16,4,0,0,20,False,meta_brand_match|body_brand_match|favicon_brand_match|auth_wording,False,False,False,1,0,icefishinguk.uk,icefishinguk.uk,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://vrbit.org,123456.xlsx,46.4286,Low,,weak_evidence,0.8667,,,,,,jw_primary,,,,,,,,True,True,False,,,fetched,available,,,https://vrbit.org/,,,,,,,,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,vrbit.org,,0,True,lexical_hit,,,,,,,,False,0,False,,,,,,,,,,,,strict_lexical_below_holdout_threshold
Election Commision of India (ECI),eci.gov.in,https://adm-fl.com,123456.xlsx,0.0,Low,,weak_evidence,0.775,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.franklycoastal.com,,,,,,,,False,4,14,0,4,22,False,body_brand_match|login_form|auth_wording|multi_input_form|final_domain_changed,False,True,False,1,1,www.franklycoastal.com,www.franklycoastal.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),nic.gov.in,https://yazicrown.com,123456.xlsx,0.0,Low,,weak_evidence,0.6296,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yazicrown.com,,,,,,,,False,0,36,0,6,42,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form|js_redirect,True,True,False,0,0,yazicrown.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Bank of Baroda,bankofbaroda.bank.in,https://bobbiecooperterrymortgage.com,123456.xlsx,0.0,Low,,weak_evidence,0.5956,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yourloansgirl.com/,,,,,,,,False,40,0,3,8,51,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|multi_redirect_chain|iframe_present|final_domain_changed,False,False,False,1,2,yourloansgirl.com,firebasestorage.googleapis.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://aureaprata.com.br,123456.xlsx,0.0,Low,,weak_evidence,0.6206,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://aureaprata.com.br,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,aureaprata.com.br,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://asi.recipes,123456.xlsx,0.0,Low,,weak_evidence,0.75,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://asi.recipes,,,,,,,,False,36,4,0,0,40,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording,False,False,False,1,0,asi.recipes,,11006,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://earsct.com,123456.xlsx,0.0,Low,,weak_evidence,0.6667,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://earct.com/,,,,,,,,False,36,0,3,4,43,False,title_brand_match|meta_brand_match|body_brand_match|multi_redirect_chain|final_domain_changed,False,False,False,1,3,earct.com,img1.wsimg.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://vytaliaction.com,123456.xlsx,0.0,Low,,weak_evidence,0.6389,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://vytaliaction.com,,,,,,,,False,28,0,6,0,34,False,title_brand_match|body_brand_match|suspicious_hosting_provider,False,False,False,1,0,vytaliaction.com,,787,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://hamwic.org,123456.xlsx,0.0,Low,,weak_evidence,0.6667,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hamwic.org/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.hamwic.org,www.hamwic.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://umnow.com,123456.xlsx,0.0,Low,,weak_evidence,0.5407,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=umnow.com,,,,,,,,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://southdakotapeoplerecords.org,123456.xlsx,0.0,Low,,weak_evidence,0.6139,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://southdakotapeoplerecords.org,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,southdakotapeoplerecords.org,,118,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://andremilan.eng.br,123456.xlsx,0.0,Low,,weak_evidence,0.6889,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://andremilan.eng.br,,,,,,,,False,28,2,0,0,30,False,title_brand_match|body_brand_match|multi_input_form,False,False,False,1,0,andremilan.eng.br,,29055,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://ironhavenadvisory.info,123456.xlsx,0.0,Low,,weak_evidence,0.7255,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://ironhavenadvisory.info,,,,,,,,False,36,0,0,4,40,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|iframe_present,False,False,False,1,0,ironhavenadvisory.info,,11299,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
State Bank of India (SBI),corp.onlinesbi.sbi,https://rinkelensmit.app,123456.xlsx,0.0,Low,,weak_evidence,0.6918,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://rinkelensmit.app/beheer,,,,,,,,False,0,32,0,0,32,False,password_field|login_form|auth_wording|multi_input_form,True,True,False,0,1,rinkelensmit.app,rinkelensmit.app,8720,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://taylorprograms.org,123456.xlsx,0.0,Low,,weak_evidence,0.6508,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://betnation77-terpercaya.com/,,,,,,,,False,28,0,0,4,32,False,title_brand_match|body_brand_match|final_domain_changed,False,False,False,1,1,betnation77-terpercaya.com,i.ibb.co,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://btwixtfashion.com,123456.xlsx,0.0,Low,,weak_evidence,0.6103,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://btwixtfashion.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,btwixtfashion.com,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://myjusticemyanmar.org,123456.xlsx,0.0,Low,,weak_evidence,0.6458,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://myjusticemyanmar.org,,,,,,,,False,4,16,0,4,24,False,body_brand_match|form_action_mismatch|iframe_present,False,False,True,1,0,myjusticemyanmar.org,myjusticemyanmar.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://goldennailsspringfieldva.com,123456.xlsx,0.0,Low,,weak_evidence,0.6574,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://goldennailsspringfieldva.com,,,,,,,,False,16,0,0,4,20,False,meta_brand_match|body_brand_match|favicon_brand_match|iframe_present,False,False,False,1,0,goldennailsspringfieldva.com,goldennailsspringfieldva.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),vssc.gov.in,https://vloasis.com,123456.xlsx,0.0,Low,,weak_evidence,0.5952,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://vloasis.ning.com/main/authorization/signIn?target=https%3A%2F%2Fvloasis.ning.com%2F,,,,,,,,False,0,36,3,14,53,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form|multi_redirect_chain|js_redirect|iframe_present|final_domain_changed,True,True,False,0,3,vloasis.ning.com,storage.ning.com,14622,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://jimboyceagency.com,123456.xlsx,0.0,Low,,weak_evidence,0.7905,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.jimboyceinsurance.com/,,,,,,,,False,4,4,3,14,25,False,favicon_brand_match|auth_wording|multi_redirect_chain|js_redirect|iframe_present|final_domain_changed,False,False,False,1,2,www.jimboyceinsurance.com,www.jimboyceinsurance.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://5833311.com,123456.xlsx,0.0,Low,,weak_evidence,0.6508,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://5833311.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,5833311.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Airtel,airtelpayments.bank.in,https://atheleos.in,123456.xlsx,0.0,Low,,weak_evidence,0.7536,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.atheleos.in/login?from=%2F,,,,,,,,False,0,34,3,0,37,False,password_field|login_form|auth_wording|submit_auth_wording|multi_redirect_chain,True,True,False,0,2,www.atheleos.in,www.atheleos.in,17305,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://flipperdoma.fun,123456.xlsx,0.0,Low,,weak_evidence,0.6212,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://parkpage.nicnames.com/?fqdn=flipperdoma.fun,,,,,,,,False,44,4,6,4,58,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider|final_domain_changed,False,False,False,1,1,parkpage.nicnames.com,3sspw4l2.tinifycdn.com,3396,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Axis Bank,axis.bank.in,https://horsmondentaxiservice.co.uk,123456.xlsx,0.0,Low,,weak_evidence,0.6733,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.horsmondentaxiservice.co.uk/,,,,,,,,False,36,0,3,0,39,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|suspicious_certificate,False,False,False,1,1,www.horsmondentaxiservice.co.uk,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://edezee.com,123456.xlsx,0.0,Low,,weak_evidence,0.5278,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://edezee.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,edezee.com,,358,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://kastamonuparkedoseme.com.tr,123456.xlsx,0.0,Low,,weak_evidence,0.6222,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://kastamonuparkedoseme.com.tr,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,kastamonuparkedoseme.com.tr,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://allaboutthegreensandbenjamins.com,123456.xlsx,0.0,Low,,weak_evidence,0.6019,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://allaboutthegreensandbenjamins.com/online/,,,,,,,,False,4,36,0,0,40,False,favicon_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,1,1,allaboutthegreensandbenjamins.com,allaboutthegreensandbenjamins.com,19798,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
