Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,final_domain,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Jio,jio.com,https://jhio.com,05-04-2026_input.csv,92.5,High,92.5,weak_evidence,0.925,0.925,0.8571,0.8871,True,False,jw_primary|skeleton_similarity,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Jio,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,http://jhio.com/,,,,92.5,27.75,0.0,True,jhio.com,0.8871,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\jhio.com.png,,
State Bank of India (SBI),sbimf.com,https://smbify.com,05-04-2026_input.csv,63.5714,Low,63.5714,weak_evidence,0.89,0.89,0.7273,0.7573,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched_visual_missing,missing,screenshot_error,Page.screenshot: Protocol error (Page.captureScreenshot): Unable to capture screenshot | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,https://smbify.com/,,,,63.5714,26.7,0.0,True,smbify.com,0.7573,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,smbify.com,smbify.com
Kfintech,kfintech.com,https://fintechnyx.com,05-04-2026_input.csv,61.3095,Low,61.3095,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration|parked_sale_signal,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration|parked_sale_signal,score_threshold|weak_direct_evidence|network_corroboration|parked_sale_signal,fetched,available,,,https://whatsellsbest.com/pages/sale-fintech-nyx,,parking_or_sale_keywords,parking_or_sale_keywords,61.3095,25.75,0.0,True,whatsellsbest.com,0.8078,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\fintechnyx.com.png,"fintechnyx.com — premium fintech domain for venture builders
 – whatsellsbest","
      fintechnyx.com — premium fintech domain for venture builders
 – whatsellsbest 
item added to your cart
         
    🌐 fintech new york
   [ available ] premium .com domain 
make your mark
 a premium .com domain at the intersection of finance and new york. for funds, founders, and platforms operating in new york’s financial ecosystem.  fintechnyx.com finance. infrastructure. identity. a premium .com domain aligned with new york fintech. where new york makes its mark on the future of finan"
Bank of Baroda,onlinecasa.bankofbaroda.com,https://bankofbaroda-org.com,05-04-2026_input.csv,67.8571,Low,67.8571,weak_evidence,0.95,0.95,0.8571,0.8871,True,True,brand_token_match|jw_primary|skeleton_similarity,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Bank of Baroda,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://bankofbaroda-org.com/,,,,67.8571,28.5,0.0,True,bankofbaroda-org.com,0.8871,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,1,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\bankofbaroda-org.com.png,coming soon,"coming soon bankofbaroda-org.com we're under construction. please check back for an update soon.
"
Kfintech,kfintech.com,https://skinlytech.com,05-04-2026_input.csv,61.3095,Low,61.3095,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://skinlytech.com/password,,,,61.3095,25.75,0.0,True,skinlytech.com,0.8078,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\skinlytech.com.png,skinlytech,"skinlytech 
              enter store using password:
             opening soon be the first to know when we launch."
Reserve Bank of India (RBI),rbi.org.in,https://chennai-rbi.com,05-04-2026_input.csv,37.6623,Low,37.6623,weak_evidence,0.5273,0.5273,0.375,0.375,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://chennai-rbi.com/,,,,37.6623,15.8182,0.0,True,chennai-rbi.com,0.375,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\chennai-rbi.com.png,coming soon,"coming soon chennai-rbi.com we're under construction. please check back for an update soon.
"
parivahan sewa,parivahan.gov.in,https://rto-parivahan.online,05-04-2026_input.csv,61.4571,Low,61.4571,weak_evidence,0.8604,0.8604,0.8182,0.8182,True,True,brand_token_match|jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,parivahan sewa,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://rto-parivahan.online/,,,,61.4571,25.812,0.0,True,rto-parivahan.online,0.8182,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,1,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\rto-parivahan.online.png,"sorry, the website has been stopped","sorry, the website has been stopped"
Axis Bank,axismf.com,https://sigma-axis.com,05-04-2026_input.csv,52.2263,Low,52.2263,weak_evidence,0.7312,0.7312,0.4762,0.5062,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://sigma-axis.com/,,,,52.2263,21.9351,0.0,True,sigma-axis.com,0.5062,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\sigma-axis.com.png,coming soon,"coming soon sigma-axis.com we're under construction. please check back for an update soon.
"
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://curasonline.com,05-04-2026_input.csv,91.5455,High,48.6883,weak_evidence,0.9155,0.9155,0.8571,0.8871,True,False,jw_primary|skeleton_similarity,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://curasonline.com/,,,,91.5455,27.4636,0.0,True,curasonline.com,0.8871,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\curasonline.com.png,curasonline.com,curasonline.com
Jio,jio.com,https://jilowa.com,05-04-2026_input.csv,86.6667,High,86.6667,weak_evidence,0.8667,0.8667,0.6667,0.6967,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Jio,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-photos.org/articles/concert-photography-capturing-live-music.html?psystem=PW&domain=jilowa.com&oref=https%3A%2F%2Fjilowa.com%2F&trafficTarget=reseller,,,,86.6667,26.0,0.0,True,www.dot-photos.org,0.6967,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\jilowa.com.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093826.1962c13b
 https://errors.edgesuite.net/18.f6c21160.1777093826.1962c13b"
Jio,jio.com,https://jeviox.com,05-04-2026_input.csv,85.0,High,85.0,weak_evidence,0.85,0.85,0.6667,0.6967,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Jio,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://jeviox.com/,,,,85.0,25.5,0.0,True,jeviox.com,0.6967,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\jeviox.com.png,- carryodesigns," - carryodesigns carryodesigns large pu leather tote bag, office shoulder handbag, minimalist commuter purse materials graphite pencils, paper returns policy returns & exchanges accepted within 30 days free delivery doesn't have to pay any extra fees for shipping or delivery our best sellers © 2025 carryodesigns. all rights reserved."
Canara Bank,canarahsbclife.com,https://canarait.com,05-04-2026_input.csv,46.875,Low,46.875,weak_evidence,0.875,0.875,0.6364,0.6664,True,False,jw_primary,lexical,weak_direct_evidence|network_corroboration,,True,Canara Bank,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://canarait.com/,,,,46.875,26.25,0.0,True,canarait.com,0.6664,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\canarait.com.png,"canarait – ""connecting it manufacturers to you""","canarait – ""connecting it manufacturers to you"" 
				""connecting it manufacturers to you""
			 
				""connecting it manufacturers to you""
			 experts in it consulting and tailored business solutions! canara has dedicated team to source for the it requirements of esteemed clients. we work as a bridge between original manufacturer to end user in terms of it products our  services supply and service for all leading brands.
 
                    software solutions:                 customized applicati"
Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,https://pnbnj.com,05-04-2026_input.csv,0.0,Low,0.0,weak_evidence,0.4833,0.4833,0.4444,0.4444,False,False,fallback_top_k,lexical,network_corroboration,,True,Punjab National Bank (PNB),False,True,False,False,network_corroboration,network_corroboration,fetched,available,,,https://pnbnj.com/,,,,0.0,14.5,0.0,True,pnbnj.com,0.4444,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,False,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\pnbnj.com.png,必一·运动(b-sports)官方网站,必一·运动(b-sports)官方网站 必一运动 · 专业体育观赛平台 站点前沿 这里是必一运动的核心入口，汇聚全球顶级赛事导航与最新动态，为您提供一站式体育内容服务。 数字沙盘 深度赛事数据可视化分析，实时更新球队战绩、球员核心参数与联赛积分墙，助您洞察赛场先机。 赛场窗口 高清无插件直播流，直击足球、篮球、电竞等赛事现场，提供多线路低延迟的沉浸式观赛体验。 深度专题 聚焦体育产业前沿，提供赛事深度解读、球队战术分析与行业快报，打造专业的体育资讯阵地。 铁粉聚集地 体育爱好者的专属部落，分享观赛心得、参与话题讨论、结交同好，共筑热烈的球迷文化。 诚挚寄语 了解必一运动的品牌故事、服务团队与官方公告，感受我们致力于提升体育观赛体验的初心。 站点前沿 作为必一运动官网的核心门户，本站前沿致力于整合全球优质体育资源，为用户提供清晰、快捷的导航体验。无论是寻找即将开始的英超焦点战，还是查询最新的nba赛程，您都可以在这里一键直达。 我们持续优化页面布局与信息架构，确保海量赛事内容得以高效呈现。平台支持pc、手机及平板多终端自适应，保证您在任何设备上都能获得一致的流畅访问。 平台特色： 赛事日
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://calmostile.com,05-04-2026_input.csv,86.0,High,86.0,weak_evidence,0.86,0.86,0.6,0.63,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://calmostile.com/,,,,86.0,25.8,0.0,True,calmostile.com,0.63,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\calmostile.com.png,shop - fashion italiano contemporaneo con offerte esclusive,"shop - fashion italiano contemporaneo con offerte esclusive fashion italiano contemporaneo con offerte esclusive scopri abbigliamento, scarpe e accessori di design. spedizione gratuita da 50€  shop 
	visualizzazione di 1-25 di 9194 risultati 100 cotone – canottiera spalla stretta in costina di cotone – bianco 100 cotone – slip alto in costina di cotone – bianco 100% cotone – canottiera in cotone – nero 100% cotone – canottiera in cotone – nero 100% cotone – canottiera in cotone – white 100% coto"
Airtel,airtel.in,https://airtelpriority.in,05-04-2026_input.csv,63.2653,Low,63.2653,weak_evidence,0.8857,0.8857,0.6,0.63,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-realty.org/articles/business-priorities-workforce-risk-real-estate.html?psystem=PW&domain=airtelpriority.in&oref=https%3A%2F%2Fairtelpriority.in%2F&trafficTarget=gd,,,,63.2653,26.5714,0.0,True,www.dot-realty.org,0.63,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\airtelpriority.in.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093828.1962d157
 https://errors.edgesuite.net/18.f6c21160.1777093828.1962d157"
BSE Ltd.,bseindia.com,https://fse-india.com,05-04-2026_input.csv,63.1614,Low,63.1614,weak_evidence,0.8843,0.8843,0.8235,0.8535,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,BSE Ltd.,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-realty.org/articles/guide-to-buying-premium-residential-property-in-india.html?psystem=PW&domain=fse-india.com&oref=https%3A%2F%2Ffse-india.com%2F&trafficTarget=gd,,,,63.1614,26.5278,0.0,True,www.dot-realty.org,0.8535,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\fse-india.com.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093828.1962d7ab
 https://errors.edgesuite.net/18.f6c21160.1777093828.1962d7ab"
DEL-API,apidel.census.gov.in,https://icicibankhomeloans.com,05-04-2026_input.csv,42.8571,Low,0.0,weak_evidence,0.4815,0.4815,0.3333,0.3333,False,False,hash_bypass,lexical,hash_bypass_hit|weak_direct_evidence|network_corroboration,,True,ICICI Bank,False,True,False,False,hash_bypass_hit|weak_direct_evidence|network_corroboration,hash_bypass_hit|weak_direct_evidence|network_corroboration,fetched,available,,,https://icicibankhomeloans.com/,,,,42.8571,14.4444,6.0,True,icicibankhomeloans.com,0.3333,0.75,below_min_score,0.0,-1,1.0,-1,0.4375,36,0.7031,19,False,True,False,0,False,False,False,False,False,False,True,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\icicibankhomeloans.com.png,redirecting...,redirecting...
Airtel,airtel.in,https://airtel-black.co,05-04-2026_input.csv,64.2857,Low,64.2857,weak_evidence,0.9,0.9,0.6667,0.6667,True,True,brand_token_match|jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-map.org/articles/booking-and-online-check-in-for-kenya-airways.html?psystem=PW&domain=airtel-black.co&oref=https%3A%2F%2Fairtel-black.co%2F&trafficTarget=gd,,,,64.2857,27.0,0.0,True,www.dot-map.org,0.6667,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\airtel-black.co.png,access denied,"access denied access denied 
reference #18.c7543f17.1777093830.2b67ca76
 https://errors.edgesuite.net/18.c7543f17.1777093830.2b67ca76"
