input_position,input_url,normalized_url,source_workbook,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_entity,best_matching_domain,lexical_score,typo_similarity,generic_token_only_match,dns_status,dns_decision,fetch_status,fetch_error_type,fetch_error_detail,hash_shortlisted,review_only,reason,final_status
24,indiadirector.com,https://indiadirector.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,0.839,0.5263,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
25,iowel.com,https://iowel.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Oil Corporation Limited (IOCL),iocl.com,0.8267,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
26,idea-factory.io,https://idea-factory.io,05-04-2026_input.csv,False,False,False,True,fallback_top_k,HDFC Bank,hdfc.com,0.6667,0.375,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
27,gujaratcarbon.co.in,https://gujaratcarbon.co.in,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Gujarat,gujarat.census.gov.in,0.6667,0.6667,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
28,iosclean.com,https://iosclean.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Indian Oil Corporation Limited (IOCL),iocl.com,0.8667,0.6967,False,resolved,accepted,failed,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://iosclean.com/ | Call log: - navigating to ""https://iosclean.com/"", waiting until ""commit""",False,False,,filtered_after_hash
29,axisalign.com,https://axisalign.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Axis Bank,axismaxlife.com,0.8828,0.73,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration|parked_sale_signal,shortlisted
30,wide-idea.org,https://wide-idea.org,05-04-2026_input.csv,False,False,False,True,fallback_top_k,BSE Ltd.,bseindia.com,0.6602,0.4706,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
31,netbsi.com,https://netbsi.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Punjab National Bank (PNB),netpnb.com,0.8444,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
32,nha.coffee,https://nha.coffee,05-04-2026_input.csv,True,True,True,False,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,National Health Authority (NHA),nha.gov.in,1.0,1.0,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
33,ainsm.com,https://ainsm.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Axis Bank,axismf.com,0.84,0.7573,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
34,airtelstores.in,https://airtelstores.in,05-04-2026_input.csv,True,True,True,False,jw_primary,Airtel,airtel.in,0.9,0.6967,False,resolved,accepted,failed,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,False,False,,filtered_after_hash
35,jhio.com,https://jhio.com,05-04-2026_input.csv,True,True,True,False,jw_primary|skeleton_similarity,Jio,jio.com,0.925,0.8871,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
36,shejio.com,https://shejio.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.6967,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
37,sparrowadvisors.com,https://sparrowadvisors.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Sparrow,orgi-sparrow.gov.in,0.6352,0.5185,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
38,behindad.com,https://behindad.com,05-04-2026_input.csv,True,True,True,False,jw_primary,BSE Ltd.,bseindia.com,0.85,0.78,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
39,axistase.com,https://axistase.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Axis Bank,axismaxlife.com,0.8591,0.6616,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
40,smbify.com,https://smbify.com,05-04-2026_input.csv,True,True,True,False,jw_primary,State Bank of India (SBI),sbimf.com,0.89,0.7573,False,resolved,accepted,fetched_visual_missing,screenshot_error,Page.screenshot: Protocol error (Page.captureScreenshot): Unable to capture screenshot | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
41,sanvadmaharashtra.com,https://sanvadmaharashtra.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,National Health Authority (NHA),abdm.gov.in,0.6422,0.2857,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
42,jivallo.com,https://jivallo.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.6508,0.63,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
43,jdio32.com,https://jdio32.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.85,0.6967,False,resolved,accepted,failed,ssl_error,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://jdio32.com/ | Call log: - navigating to ""https://jdio32.com/"", waiting until ""domcontentloaded""",False,False,,filtered_after_hash
44,jili-ko.com,https://jili-ko.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.6508,0.63,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
45,jharkhandpcc.com,https://jharkhandpcc.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jharkhand,jharkhand.census.gov.in,0.7143,0.7143,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
46,livesanchar.com,https://livesanchar.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Space Research Organisation (ISRO),vssc.gov.in,0.6742,0.4,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
47,flowers-nha-trang.online,https://flowers-nha-trang.online,05-04-2026_input.csv,True,True,False,False,brand_token_match,National Health Authority (NHA),nha.gov.in,0.3,0.3,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
48,jiebot.com,https://jiebot.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.8667,0.6967,False,resolved,accepted,timeout,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://jiebot.com/"", waiting until ""commit""",False,False,,filtered_after_hash
49,aixms.com,https://aixms.com,05-04-2026_input.csv,True,True,True,False,jw_primary,All India Institute of Medical Sciences (AIIMS),aiims.edu,0.8933,0.8,False,resolved,accepted,failed,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://aixms.com/ | Call log: - navigating to ""https://aixms.com/"", waiting until ""commit""",False,False,,filtered_after_hash
50,dmetodisha.org,https://dmetodisha.org,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Election Commision of India (ECI),eci.gov.in,0.6222,0.3077,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
51,camonier.com,https://camonier.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.9008,0.8078,False,resolved,accepted,failed,navigation_error,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://camonier.com/ | Call log: - navigating to ""https://camonier.com/"", waiting until ""commit""",False,False,,filtered_after_hash
52,pngintel.com,https://pngintel.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Airtel,airtel.in,0.7222,0.5714,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
53,axialms.com,https://axialms.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Axis Bank,axismaxlife.com,0.8485,0.5856,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
54,canarait.com,https://canarait.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Canara Bank,canarahsbclife.com,0.875,0.6664,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
55,jiqiao.com,https://jiqiao.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.6967,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
56,icicibankhomeloans.com,https://icicibankhomeloans.com,05-04-2026_input.csv,True,True,False,False,fallback_top_k,ICICI Bank,icicilombard.com,0.8378,0.5633,False,resolved,accepted,fetched,,,True,False,hash_bypass_hit|weak_direct_evidence|network_corroboration,shortlisted
57,curasonline.com,https://curasonline.com,05-04-2026_input.csv,True,True,True,False,jw_primary|skeleton_similarity,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.9155,0.8871,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
58,jin2do.com,https://jin2do.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.6967,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
59,sac-plastique-publicitaire.com,https://sac-plastique-publicitaire.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Airtel,airtel.in,0.6085,0.25,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
60,assamartours.com,https://assamartours.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,0.6667,0.53,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
61,fintechnyx.com,https://fintechnyx.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Kfintech,kfintech.com,0.8583,0.8078,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration|parked_sale_signal,shortlisted
62,sac-bridge.com,https://sac-bridge.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,State Bank of India (SBI),sbicard.com,0.8243,0.5006,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
63,haryananaukri.com,https://haryananaukri.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Haryana,haryana.census.gov.in,0.6667,0.6667,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
64,axis3pl.com,https://axis3pl.com,05-04-2026_input.csv,True,True,False,False,fallback_top_k,Axis Bank,axismf.com,0.8476,0.6454,False,resolved,accepted,fetched,,,True,False,network_corroboration,shortlisted
65,bearsiding.com,https://bearsiding.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,BSE Ltd.,bseindia.com,0.7868,0.5856,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
66,dcareodisha.com,https://dcareodisha.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,parivahan sewa,parivahan.gov.in,0.67,0.5,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
67,iolun.com,https://iolun.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Oil Corporation Limited (IOCL),iocl.com,0.8267,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
68,jiouo.com,https://jiouo.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.9067,0.78,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
69,idea-bet.live,https://idea-bet.live,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Reserve Bank of India (RBI),rebit.org.in,0.6833,0.4615,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
70,indiancoins.com,https://indiancoins.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,0.8418,0.4444,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
71,skinlytech.com,https://skinlytech.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Kfintech,kfintech.com,0.8583,0.8078,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
72,hdmnc.com,https://hdmnc.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,HDFC Bank,hdfc.com,0.8267,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
73,sptnkfintech.online,https://sptnkfintech.online,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Kfintech,kfintech.com,0.8056,0.8,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
74,sac-atendimento.digital,https://sac-atendimento.digital,05-04-2026_input.csv,False,False,False,True,fallback_top_k,BSE Ltd.,bseindia.com,0.6611,0.4348,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
75,sac-personnalise.com,https://sac-personnalise.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.6727,0.5685,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
76,canoline.com,https://canoline.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.9133,0.8078,False,resolved,accepted,failed,connection_reset,"Page.goto: net::ERR_CONNECTION_RESET at https://canoline.com/ | Call log: - navigating to ""https://canoline.com/"", waiting until ""commit""",False,False,,filtered_after_hash
77,icicibank-coin.cfd,https://icicibank-coin.cfd,05-04-2026_input.csv,True,True,False,False,fallback_top_k,ICICI Bank,icicilombard.com,0.8226,0.5385,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
78,rejbio.com,https://rejbio.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Reserve Bank of India (RBI),rebit.org.in,0.8578,0.7273,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
79,odishajobalerts.one,https://odishajobalerts.one,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Coal India,coalindiatenders.nic.in,0.6306,0.4516,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
80,sac-infoatendimento.shop,https://sac-infoatendimento.shop,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Income Tax Department,incometaxindia.gov.in,0.667,0.4242,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
81,indiancclending.com,https://indiancclending.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,0.8558,0.6,False,resolved,accepted,failed,ssl_error,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://indiancclending.com/ | Call log: - navigating to ""https://indiancclending.com/"", waiting until ""domcontentloaded""",False,False,,filtered_after_hash
82,bankofbaroda-org.com,https://bankofbaroda-org.com,05-04-2026_input.csv,True,True,True,False,brand_token_match|jw_primary|skeleton_similarity,Bank of Baroda,onlinecasa.bankofbaroda.com,0.95,0.8871,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
83,jointcommision.org,https://jointcommision.org,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Jio,jio.com,0.627,0.3529,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
84,ventocorebit-ia.com,https://ventocorebit-ia.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Income Tax Department,incometaxindia.gov.in,0.6183,0.4828,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
85,sigma-axis.com,https://sigma-axis.com,05-04-2026_input.csv,True,True,False,False,brand_token_match,Axis Bank,axismaxlife.com,0.7312,0.5062,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
86,dfhcd.com,https://dfhcd.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,HDFC Bank,hdfcfund.com,0.8083,0.6454,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
87,chennai-rbi.com,https://chennai-rbi.com,05-04-2026_input.csv,True,True,False,False,brand_token_match,Reserve Bank of India (RBI),rebit.org.in,0.5273,0.375,False,resolved,accepted,fetched,,,True,False,weak_direct_evidence|network_corroboration,shortlisted
88,pnnts.com,https://pnnts.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Punjab National Bank (PNB),pnbindia.in,0.6583,0.4615,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
89,rto-parivahan.online,https://rto-parivahan.online,05-04-2026_input.csv,True,True,True,False,brand_token_match|jw_primary,parivahan sewa,parivahan.gov.in,0.8604,0.8182,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
90,sparrowrg.com,https://sparrowrg.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Sparrow,orgi-sparrow.gov.in,0.6852,0.6667,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
91,sedaliacountry.com,https://sedaliacountry.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Coal India,coalindiatenders.nic.in,0.6464,0.4,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
92,airtelpriority.in,https://airtelpriority.in,05-04-2026_input.csv,True,True,True,False,jw_primary,Airtel,airtel.in,0.8857,0.63,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
93,pnbnj.com,https://pnbnj.com,05-04-2026_input.csv,True,True,False,False,fallback_top_k,Punjab National Bank (PNB),pnbindia.in,0.8367,0.6154,False,resolved,accepted,fetched,,,True,False,network_corroboration,shortlisted
94,xiaocl.com,https://xiaocl.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Indian Oil Corporation Limited (IOCL),iocl.com,0.8889,0.83,False,resolved,accepted,fetched_visual_missing,screenshot_timeout,Page.screenshot: Timeout 6000ms exceeded. | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
95,icicibank-coin.sbs,https://icicibank-coin.sbs,05-04-2026_input.csv,True,True,False,False,fallback_top_k,ICICI Bank,icicilombard.com,0.8226,0.5385,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
96,odishaeconomy.in,https://odishaeconomy.in,05-04-2026_input.csv,False,False,False,True,fallback_top_k,State Bank of India (SBI),sbicard.com,0.633,0.2,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
97,a1tamilnadu.com,https://a1tamilnadu.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k|generic_token_only,National Informatics Centre (NIC),kavach.mail.gov.in,0.6212,0.4545,True,,,,,,False,False,generic_token_only_lexical_rejected,filtered_lexical_miss
98,jilowa.com,https://jilowa.com,05-04-2026_input.csv,True,True,True,False,jw_primary,Jio,jio.com,0.8667,0.6967,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
99,aimff.com,https://aimff.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Axis Bank,axismf.com,0.84,0.7573,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
100,axis-fluxrad.com,https://axis-fluxrad.com,05-04-2026_input.csv,True,True,True,False,brand_token_match|jw_primary,Axis Bank,axismf.com,0.85,0.5856,False,resolved,accepted,fetched,,,True,False,score_threshold|weak_direct_evidence|network_corroboration,shortlisted
101,pramsonline.com,https://pramsonline.com,05-04-2026_input.csv,True,True,True,False,jw_primary|skeleton_similarity,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.9061,0.8871,False,resolved,accepted,timeout,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://pramsonline.com/"", waiting until ""commit""",False,False,,filtered_after_hash
102,le-sac-publicitaire.com,https://le-sac-publicitaire.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Income Tax Department,contents.tdscpc.gov.in,0.6257,0.32,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
103,cams.us.com,https://cams.us.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,CATS,cats.census.gov.in,0.6667,0.6667,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
104,sb2m.com,https://sb2m.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,State Bank of India (SBI),sbimf.com,0.8267,0.6967,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
105,bwbindia.com,https://bwbindia.com,05-04-2026_input.csv,True,True,True,False,jw_primary,BSE Ltd.,bseindia.com,0.85,0.78,False,resolved,accepted,failed,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,False,False,,filtered_after_hash
106,redleaf-corebit.com,https://redleaf-corebit.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,HDFC Bank,hdfc.com,0.65,0.3458,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
107,hpsincometax.com,https://hpsincometax.com,05-04-2026_input.csv,False,False,False,True,fallback_top_k,Income Tax Department,incometaxindia.gov.in,0.7976,0.6923,False,,,,,,False,False,lexical_prefilter_rejected,filtered_lexical_miss
108,atmosonline.com,https://atmosonline.com,05-04-2026_input.csv,True,True,True,False,jw_primary|skeleton_similarity,Computer Age Management Services Ltd. (CAMS),camsonline.com,0.8871,0.8871,False,no_answer,filtered,failed,dns_gate_no_answer,domain not mapped to an active IP,False,False,dns_not_mapped_lexical_passthrough,dns_not_mapped_lexical_passthrough
