Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,best_score,domain_component,clip_component,hash_component,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
Kfintech,kfintech.com,https://kfinsaat.com.tr,0.0,Low,0.0,weak_evidence,0.85,0.85,0.625,0.625,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.625,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Indian Space Research Organisation (ISRO),vssc.gov.in,https://vsgs.org,0.0,Low,0.0,weak_evidence,0.8667,0.8667,0.75,0.75,True,False,jw_primary,lexical,True,Indian Space Research Organisation (ISRO),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0,0.0,0.0,0.75,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailoasis2.com,0.0,Low,0.0,weak_evidence,0.88,0.88,0.5714,0.5714,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.4,0.0,0.0,0.5714,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudability.link,0.0,Low,0.0,weak_evidence,0.8833,0.8833,0.5882,0.5882,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.5,0.0,0.0,0.5882,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://main-zlks.com,0.0,Low,0.0,weak_evidence,0.8704,0.8704,0.6154,0.6154,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.1111,0.0,0.0,0.6154,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudpride.com,0.0,Low,0.0,weak_evidence,0.9,0.9,0.6667,0.6667,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.0,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Axis Bank,axismf.com,https://axisemberhq.com,0.0,Low,0.0,weak_evidence,0.8727,0.8727,0.5333,0.5333,True,False,jw_primary,lexical,True,Axis Bank,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.1818,0.0,0.0,0.5333,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://kint.eus,0.0,Low,0.0,weak_evidence,0.85,0.85,0.6667,0.6667,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://agate-cloud.com,0.0,Low,0.0,weak_evidence,0.7374,0.7374,0.6,0.6,True,True,brand_token_match,lexical,False,,True,True,False,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,22.1212,0.0,0.0,0.6,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Bank of Baroda,bankofbaroda.bank.in,https://bankofdigitaldollar.com,0.0,Low,0.0,weak_evidence,0.8519,0.8519,0.5806,0.5806,True,False,jw_primary,lexical,True,Bank of Baroda,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5579,0.0,0.0,0.5806,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Health Authority (NHA),abdm.gov.in,https://abdelmunaim.com,0.0,Low,0.0,weak_evidence,0.8515,0.8515,0.5333,0.5333,True,False,jw_primary,lexical,True,National Health Authority (NHA),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5455,0.0,0.0,0.5333,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudplusplus-pro.com,0.0,Low,0.0,weak_evidence,0.8588,0.8588,0.4545,0.4545,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.7647,0.0,0.0,0.4545,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://uparrow-mail.info,0.0,Low,0.0,weak_evidence,0.5,0.4444,0.5,0.5,True,True,brand_token_match,lexical,False,,True,True,False,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,15.0,0.0,0.0,0.5,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailfry.com,0.0,Low,0.0,weak_evidence,0.9143,0.9143,0.7273,0.7273,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.4286,0.0,0.0,0.7273,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://maninalto.com,0.0,Low,0.0,weak_evidence,0.8519,0.8519,0.6154,0.6154,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5556,0.0,0.0,0.6154,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mailnex.app,0.0,Low,0.0,weak_evidence,0.9143,0.9143,0.7273,0.7273,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.4286,0.0,0.0,0.7273,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Axis Bank,axismaxlife.com,https://axismediaindia.com,0.0,Low,0.0,weak_evidence,0.8571,0.8571,0.4444,0.4444,True,False,jw_primary,lexical,True,Axis Bank,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.7143,0.0,0.0,0.4444,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://ampfintech.com,0.0,Low,0.0,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.75,0.0,0.0,0.8078,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://maisdollar.site,0.0,Low,0.0,weak_evidence,0.86,0.86,0.5714,0.5714,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.8,0.0,0.0,0.5714,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
BSE Ltd.,bseindia.com,https://sewindian.com,0.0,Low,0.0,weak_evidence,0.8843,0.8843,0.8235,0.8535,True,False,jw_primary,lexical,True,BSE Ltd.,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.5278,0.0,0.0,0.8535,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Reserve Bank of India (RBI),rbi.org.in,https://rbillman.com,0.0,Low,0.0,weak_evidence,0.8542,0.8542,0.5455,0.5455,True,False,jw_primary,lexical,True,Reserve Bank of India (RBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.625,0.0,0.0,0.5455,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudmigration.org,0.0,Low,0.0,weak_evidence,0.8714,0.8714,0.5263,0.5263,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.1429,0.0,0.0,0.5263,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Punjab National Bank (PNB),pnb.bank.in,https://kpn88.icu,0.0,Low,0.0,weak_evidence,0.8667,0.8667,0.75,0.75,True,False,jw_primary,lexical,False,,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0,0.0,0.0,0.75,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://mpsconline.com,0.0,Low,0.0,weak_evidence,0.8963,0.8963,0.8,0.83,True,False,jw_primary,lexical,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.8889,0.0,0.0,0.83,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Vodafone Idea (VI),myvi.in,https://myvirtual.institute,0.0,Low,0.0,weak_evidence,0.8889,0.8889,0.6154,0.6154,True,False,jw_primary,lexical,True,Vodafone Idea (VI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.6667,0.0,0.0,0.6154,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,https://guideair.site,0.0,Low,0.0,weak_evidence,0.875,0.875,0.7692,0.7692,True,False,jw_primary,lexical,True,"Unique Identification Authority of India (UIDAI)
",True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.25,0.0,0.0,0.7692,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Airtel,airtel.in,https://airmodel.site,0.0,Low,0.0,weak_evidence,0.8736,0.8736,0.7143,0.7143,True,False,jw_primary,lexical,True,Airtel,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.2083,0.0,0.0,0.7143,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),sbisecurities.in,https://experience-retail.online,0.0,Low,0.0,weak_evidence,0.5072,0.5072,0.4,0.4,True,True,brand_token_match,lexical,False,,True,True,False,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,15.2165,0.0,0.0,0.4,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://kitchen.stream,0.0,Low,0.0,weak_evidence,0.8768,0.8768,0.6667,0.6667,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.3036,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Axis Bank,axis.bank.in,https://axisupi.com,0.0,Low,0.0,weak_evidence,0.9143,0.9143,0.7273,0.7273,True,False,jw_primary,lexical,True,Axis Bank,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.4286,0.0,0.0,0.7273,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),sbilife.co.in,https://desilife.travel,0.0,Low,0.0,weak_evidence,0.869,0.869,0.8,0.8,True,False,jw_primary,lexical,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0714,0.0,0.0,0.8,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Bharat Sanchar Nigam Limited (BSNL),bsnl.co.in,https://bnl.one,0.0,Low,0.0,weak_evidence,0.925,0.925,0.8571,0.8571,True,False,jw_primary,lexical,True,Bharat Sanchar Nigam Limited (BSNL),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.75,0.0,0.0,0.8571,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),homeloans.sbi,https://homeloanscore.com,0.0,Low,0.0,weak_evidence,0.9385,0.9385,0.8182,0.8182,True,False,jw_primary,lexical,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,28.1538,0.0,0.0,0.8182,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Reserve Bank of India (RBI),rbi.org.in,https://arbie.com,0.0,Low,0.0,weak_evidence,0.8667,0.8667,0.75,0.75,True,False,jw_primary,lexical,True,Reserve Bank of India (RBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0,0.0,0.0,0.75,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudsoltechnologies.skin,0.0,Low,0.0,weak_evidence,0.85,0.85,0.4,0.4,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.4,0.45,below_min_score,0.0,False,False,False,False,False,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://ccecloud.com,0.0,Low,0.0,weak_evidence,0.8875,0.8875,0.7692,0.7692,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.625,0.0,0.0,0.7692,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://mecafile.online,0.0,Low,0.0,weak_evidence,0.85,0.85,0.6667,0.6667,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://demail.sbs,0.0,Low,0.0,weak_evidence,0.8889,0.8889,0.8,0.8,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.6667,0.0,0.0,0.8,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://kaiztech.net,0.0,Low,0.0,weak_evidence,0.85,0.85,0.75,0.75,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.75,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
BSE Ltd.,bseindia.com,https://fbindia.com,0.0,Low,0.0,weak_evidence,0.869,0.869,0.8,0.83,True,False,jw_primary,lexical,True,BSE Ltd.,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0714,0.0,0.0,0.83,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://tcmonline.in,0.0,Low,0.0,weak_evidence,0.8963,0.8963,0.8421,0.8421,True,False,jw_primary,lexical,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.8889,0.0,0.0,0.8421,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),sbi.co.in,https://sebi.exchange,0.0,Low,0.0,weak_evidence,0.925,0.925,0.8571,0.8571,True,False,jw_primary,lexical,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.75,0.0,0.0,0.8571,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),cloud.gov.in,https://cloudburt.com,0.0,Low,0.0,weak_evidence,0.9111,0.9111,0.7143,0.7143,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,27.3333,0.0,0.0,0.7143,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Kfintech,kfintech.com,https://finsintech.com,0.0,Low,0.0,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,True,Kfintech,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.75,0.0,0.0,0.8078,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Axis Bank,axis.bank.in,https://apis.bot,0.0,Low,0.0,weak_evidence,0.85,0.85,0.75,0.75,True,False,jw_primary,lexical,True,Axis Bank,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.75,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
National Informatics Centre (NIC),kavach.mail.gov.in,https://marianlt.com,0.0,Low,0.0,weak_evidence,0.8667,0.8667,0.6667,0.6667,True,False,jw_primary,lexical,True,National Informatics Centre (NIC),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,26.0,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
State Bank of India (SBI),sbi.co.in,https://spabid.com,0.0,Low,0.0,weak_evidence,0.85,0.85,0.6667,0.6667,True,False,jw_primary,lexical,True,State Bank of India (SBI),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.6667,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
IndusInd Bank,indusind.bank.in,https://indiandaz.com,0.0,Low,0.0,weak_evidence,0.8639,0.8639,0.7059,0.7059,True,False,jw_primary,lexical,True,IndusInd Bank,True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.9167,0.0,0.0,0.7059,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
Indian Oil Corporation Limited (IOCL),iocl.com,https://ieo1.com,0.0,Low,0.0,weak_evidence,0.85,0.85,0.75,0.78,True,False,jw_primary,lexical,True,Indian Oil Corporation Limited (IOCL),True,True,True,False,strict_lexical_hit,strict_lexical_hit,timeout,0.0,25.5,0.0,0.0,0.78,0.45,anchor_typo,0.0,True,False,False,False,True,False,False,False,False,False,False,,,,fetch_failed_lexical_hit
